company,claim
klk,"25% reduction in greenhouse gas emission 27% reduction 25% reduction
intensity by 2029/2030 (compared to 2018/19) achieved vs achieved vs
and net-zero emissions by 2050 (Scope 1 and FY2019 baseline FY2019 baseline
Environment
Scope 2)
4."
klk,"This is the value through innovation, developing new, sustainable
foundation of our business, where we directly products to access growing markets for bio-based
manage our most significant environmental and social solutions and directly engaging with end-customers
footprints, including land use, biodiversity, emissions, who drive demand for certified and responsible
and workforce welfare."
klk,"KLK’s ongoing decarbonisation initiatives, including biogas utilisation and
renewable-energy adoption, help moderate longer-term exposure."
klk,"Higher-risk suppliers are subject to
emissions disclosure, and customer and investor corrective action plans, with monitoring of progress
demand for deforestation-free and certified palm oil."
klk,"This governance mechanism is in place to • Manufacturing Certification: Oleochemical plants
provide a direct channel to remediate issues and in Asia and Europe remain certified to ISO 9001,
strengthen supplier accountability, chaired by the ISO 14001 and ISO 45001."
klk,"The transition to a lower-carbon and bio-based
economy presents opportunities for KLK to leverage
• Regional R&D Hubs: While Group R&D is centrally
its integrated value chain and R&D capabilities."
klk,"• No Deforestation Commitment: Continued
enforcement of KLK’s NDPE Policy, reducing
• Supply chain interruptions impacting third-party FFB exposure to climate-amplifying activities and
deliveries."
klk,"As global
supporting a targeted 25% intensity reduction by
decarbonisation policies strengthen, carbon-cost
2030 and net zero by 2050, relative to the computed
exposure could expand across the Group’s operating
2019 baseline."
klk,"Overall, FY2025 reflects continued progress towards the FY2030 target of 0.21 mtCO eq/mt production volume
2
and the Group’s Net Zero 2050 ambition."
klk,"Effect on strategy and decision making
opportunities for KLK to decarbonise its value chain
The Group’s decarbonisation efforts focuses on:
and enhance long-term resilience."
klk,"By leveraging
palm biomass, biogas and solar potential, the Group
• Biomass Optimisation: Upkeep of biomass
can reduce Scope 1 and 2 emissions, stabilise energy
boilers to maximise energy efficiency and replace
costs, and reduce cost through renewable-energy
fossil fuels, with Palm Fibre and PKS used for
generation."
klk,"streamlining and equipment upgrades in refineries
and oleochemical plants to reduce energy intensity."
klk,"• Midstream & Downstream: Refineries, KCPs and
oleochemical plants reduce Scope 2 emissions
• Decarbonisation Roadmap: Net-zero by 2050,
by integrating rooftop solar panels, while pursuing
supported by interim milestones (25% Scope 1
electrification in locations where renewable
& 2 intensity reduction by 2029/30)."
klk,"The Group’s overall decarbonisation plan outlines how we intend to achieve our climate-related targets, including our
25% GHG emissions intensity reduction by 2029/30 (vs FY2019) and net zero by 2050."
klk,"• Renewable energy usage also contributes to avoided emissions, which in turn limits potential exposure to future
carbon-pricing mechanisms."
klk,"a network of trained, traceable, and certified
smallholders who contribute to deforestation-free FY2024 FY2025
supply chains."
klk,"In Ipoh (MBI) to adopt seven public parks under
Sabah, KLK collaborates with the Humana Child the Taman Rekreasi MADANI programme for a
Aid Society and Etania Schools to provide early period of two years."
klk,"In Indonesia, KLK operates estate-based schools in - In line with our goal to promote social inclusion,
partnership with the Indonesia Heritage Foundation KLK has also engaged a non-profit rehabilitation
and local education authorities, while in Liberia, free centre to carry out regular park maintenance
basic education is provided through our Palm Bay work."
klk,"This initiative advances smallholder inclusion by supporting
resilience building and promoting sustainable palm oil production."
