claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"The
publication of this marks 10 years since the launch of our first No
Deforestation, No Peat, and No Exploitation (NDPE) policy and I am
immensely proud of the milestones we have achieved and the efforts
we have made towards a more sustainable business.",True,False,True,True,,soft,non,0.6602222323417664
GHG emissions by 18% compared to our 2016 baseline.,False,False,False,False,,soft,spec,0.8324941396713257
"However,
to achieve our 30% target by 2030 and lessen our climate footprint,
we are substantially ramping up investments in methane capture
and increasing the use of biocharcoal and organic fertilisers in the
Gunawan H.",False,False,False,False,2030,soft,spec,0.8814981579780579
"Additionally, we are focusing on how we can reduce and recycle
Executive Chairman and
our water for processing.",False,False,False,False,,soft,non,0.5520783066749573
"Consistent with Bumitama’s
reforestation and forest-positive programme, BBCP excelled - ABOUT THE REVIEWER
planting over 68,000 trees while adding 180 hectares of reforested Andrew works as a Senior Manager with the Landscape Programme at
area.",False,False,False,False,,soft,spec,0.6295257210731506
"1 methane capture facility is in
climate adaption 15 existing palm oil mills operation; 3 are in the pipeline
Reduce GHG emissions intensity by 30% 2030 On track.",False,False,False,False,2030,soft,spec,0.920200526714325
"Rolled out biocharcoal programme,
reductions through composting and increased compositing facilities, improving solid
solid separation separation for wastewater treatment
Waste management Develop a solid waste reduction policy for our 2023 In progress.",False,False,False,False,,soft,spec,0.8093441128730774
"12.2 Target revised to 2025
Pesticides and 85% of planted area to be rodenticide-free 2023 Achieved and exceeded in 2023 with 95% of
chemical usage (2018 baseline) operations rodenticide-free in 2023 and 96%
in 2024
12.4, 12.5 Develop a chemical fertiliser reduction 2024 Ongoing.",False,False,False,False,2025,soft,spec,0.8491406440734863
"However, plasma certified
area increased from 3.4% to 4.0% of total
plasma planted area since 2022
Community development Support 6 communities through social forestry 2025 Achieved and exceeded.",False,False,False,False,2025,soft,spec,0.8752895593643188
"| Sustainability Report 2024 - 12 - TRIPLE ZERO TARGET
PROGRAMME
(STEPWISE TARGETS)
In 2020, we launched our ambitious Triple
Zero Target Programme – an initiative aimed
at achieving zero occurrences related
to fires, environmental incidents, and
workplace accidents by 2025.",False,False,False,False,2025,hard,spec,0.5506480932235718
"These efforts go
beyond efficiency gains, serving as a strategic pillar of our broader sustainability and decarbonisation strategies.",False,False,False,False,,soft,non,0.8927184343338013
"This shift improves
shift supports healthier soil microbiomes and
efficiency, reduces fuel use per tonne of FFB, and
biodiversity, while promoting more efficient and
eases logistical bottlenecks—while also enhancing
responsible field operations.",False,False,False,False,,soft,non,0.6973344087600708
"As we move into 2025 and beyond, our focus remains on:
1 Expanding mainline mechanisation to cut fuel emissions
and improve efficiency.",False,False,False,False,2025,soft,non,0.5274627804756165
"Precision Nutrient Application 2 Enhancing precision fertilisation to reduce GHG
emissions from soil management.",False,False,False,False,,soft,non,0.7498341202735901
"Integrating digital mechanised tracking systems to
4
improve accountability and carbon footprint monitoring.",False,False,False,False,,soft,non,0.7755749821662903
"enhances soil carbon levels, and lessens reliance
on synthetic fertilisers through more efficient
We are committed to certifying every Bumitama mill against
organic matter distribution.",False,False,False,False,,soft,non,0.5815886855125427
