company,claim
gar,"In 2025, In parallel, we are taking practical steps to reduce our
while directly addressing growing climate risk."
gar,"These efforts not only reduce The Path Forward
emissions across our value chain but also make better use
Collective for Impact is built around three areas: of our own resources."
gar,"protecting nature, and reducing waste."
gar,"• Empowering People: Helping communities thrive, Our path forward is clear: to drive greater productivity from
We want to help create meaningful opportunities so
protecting human rights, and making workplaces safer."
gar,"As CSCO, I want to know that everything we produce is made resource efficiency, as well
sustainably, in a way that supports the well-being of the
ecosystems that sustain us and the communities around us."
gar,"Group-wide Human Resources Policy integrating human
plantation through our first real-world test of SmartTrace Our ability to secure supply, manage costs, and maintain
rights principles into core human resources processes."
gar,"From food and feed to industry
and energy, we deliver sustainable, end-to-end solutions
growing alongside our suppliers
for our customers."
gar,"As
a leading global agribusiness, we take our responsibilities
growth in the communities where
seriously, nurturing communities, driving sustainable
innovation, and helping shape a more responsible
we operate, our industry, and
palm oil industry."
gar,"Through collaboration with industry
experts, capacity building across our supply chain and
the environment."
gar,"12 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
How We Create Value
Our mission is to provide safe, high-quality, and As a global business, we apply consistent sustainability standards
sustainable agricultural products that support a across our operations, from palm in Indonesia to soybean in China
growing global population."
gar,"technologies that strengthen traceability, improve provide safe, inclusive
We connect production to global markets, delivering quality,
productivity, and build more resilient supply chains."
gar,"Through the framework, we align business growth with positive Collective for Impact is aligned with the United Nations
environmental and social outcomes."
gar,"Sustainable Development Goals (SDGs), with particular
focus on Zero Hunger (SDG 2), Responsible Consumption
Our strategy is anchored around three interconnected pillars."
gar,"and Production (SDG 12), Climate Action (SDG 13), and Life
• Sourcing Responsibly: Strengthen trust with our suppliers on Land (SDG 15)."
gar,"• Caring for Our Planet: Safeguard natural ecosystems A Year of Learning
through conservation and effective environmental
management, and contribute to net zero goals."
gar,"We are
commitment to sustainable outcomes across our supply
embedding sustainability deeper across the business and
chain, for people and for the planet."
gar,"This ensures
carbon emissions, drive carbon reduction initiatives, oversee
our commitments translate into action on the ground, We continue to expand the integration of sustainability risks
energy, and water management."
gar,"Key executives
unit in 2024 to drive GAR’s decarbonisation strategy, develop
empowerment, climate change adaptation and mitigation, on this committee routinely review risk exposures, discuss
opportunities in carbon markets and strengthen our ability
legal and regulatory compliance, deforestation-free potential impacts, and take proactive steps to manage
to manage climate and energy transition risks."
gar,"Diversity, Equity • Conducted a gender equality assessment with the Indonesia Business Coalition for Women Empowerment (IBCWE) to map gender
and Inclusion equality gaps and drive continuous improvement."
gar,"implementation Empowerment
• Partnered with waste banks to strengthen waste and recycling practices supporting community-based environmental management."
gar,Climate Change • Supported national carbon reduction and food security goals through agroforestry approaches and decarbonisation initiatives.
gar,"Deforestation
• Contributed to sector-wide responsible sourcing and traceability improvements through POCG."
gar,"and Smallholder • Supported smallholders’ integration into traceable and deforestation-free supply chains, including progress towards RSPO and ISPO."
gar,Adaptation • Expanded methane capture and renewable energy initiatives to reduce emissions intensity and strengthen operational resilience.
gar,"Deforestation
sourced • Engaged buyers in structured dialogue sessions during palm oil industry conferences to address priorities relating to
Free Supply
products deforestation-free supply chains, carbon management, and human rights due diligence."
gar,"Chain (NDPE)
creating
• Engaged local communities in peatland restoration through active participation in rewetting and revegetation activities."
gar,"Livelihoods
Greenhouse • Collaborated with Accenture to develop a Group-wide GHG baseline and decarbonisation roadmap."
gar,Gas (GHG) • Shared progress with customers and stakeholders to support their climate commitments and Scope 3 expectations.
gar,"Emissions • Strengthened alignment with global climate action standards, including GHG Protocol and SBTi."
gar,sector-wide Deforestation • Achieved near-full Traceability to Mill (TTM) and Traceability to Plantation (TTP) across our palm oil supply chain.
gar,"Productivity
• Advanced R&D initiatives, including the development of high-yield and climate-resilient seed varieties."
gar,"Relations and
• Collaborated with local waste banks to strengthen community-based waste management and recycling practices."
gar,"Empowerment
• Partnered with ADM and Tzu Chi Indonesia on a two-year initiative to build healthier and more resilient communities in Lubuk Gaung."
gar,"Securing a
• Enforced our NDPE commitments across operations and supply chain, supported by satellite-based monitoring to strengthen
Deforestation
risk detection."
gar,• Implemented peatland protection and restoration initiatives in priority landscapes to support ecosystem resilience.
gar,"and solutions-
oriented
Civil Society
• Reinforced responsible labour standards across our value chain, including alignment with international human rights frameworks."
gar,"and FPIC
Supply
• Implemented smallholder inclusion and transformation programmes with suppliers and partners to support traceable,
Inclusiveness
deforestation-free supply chains."
gar,"32 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
3
Sourcing
Responsibly
In This Chapter
Our Supply Chain
Transformation 34
Beyond Traceability: Unlocking Real Impact 36
Upholding NDPE Commitments 40
Ethical Sourcing Practices 46
Strengthening Smallholder Capabilities 48
Sourcing 33
Responsibly GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Our Supply Chain
Transformation
Since adopting the GAR Social and Environmental Traceability to Plantation
Policy (GSEP) in 2015, we have built one of the
industry’s most comprehensive responsible sourcing In 2025, we achieved 99.8% traceability to plantation."
gar,"TTP also enables us to 99.8%
TTP Indonesian
build deforestation-free supply in compliance with No
Palm Supply Traceability
Deforestation, No Peat, and No Exploitation (NDPE) at
Chain
the point of origin."
gar,"It helps our customers 509
demonstrate that our products are deforestation-free in mills
a way that is compatible with the European Union (EU) Percentage Number of Suppliers Volume (MT)
regulatory reporting system."
