claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
deforestation and mitigating climate impacts.,True,False,False,False,,soft,non,0.8030382394790649
"Beyond continually bolstering our supplier monitoring, we a significant slowdown in deforestation in key regions and the
proactively identify and assess high-risk suppliers and work preservation of millions of hectares of forestland.",True,False,False,False,,soft,non,0.772887110710144
"When compliance issues
challenges associated with palm oil production such as arise, we take decisive action which may include removing non-
deforestation, biodiversity loss and exploitation risks.",True,False,False,False,,soft,non,0.8758987784385681
"The European Union Deforestation Regulation
Sustainability is at the core of our operations, guided by our
No Deforestation, No Peat, No Exploitation (NDPE) commitment
As part of our commitment to deforestation-free practices, we closely monitor our operations and third-party suppliers at
since 2013.",True,False,True,True,2013,hard,non,0.7596380710601807
"This aligns with our broader NDPE Policy and extends to
sustainable practices as well as champion human and labour conserving biodiversity across our operations and supply chain.",False,False,True,False,,soft,non,0.880895733833313
"At Wilmar, our mission is to produce palm oil responsibly,
We welcome and support the EUDR as a crucial step in encouraging the consumption of deforestation-free products and
balancing the needs of people and nature.",True,False,False,False,,hard,non,0.5922287106513977
addressing global deforestation and forest degradation.,True,False,False,False,,soft,non,0.7608042359352112
"In addition, we actively engaged with our suppliers, who play a crucial role in making sustainable agriculture and food
production a reality.",False,False,False,False,,soft,non,0.8639644384384155
"By working closely with them, we aim to promote sustainable practices, improve transparency and
Our NDPE Policy has been a cornerstone of our sustainability
support the collective goal of building a more sustainable and responsible supply chain.",False,False,True,False,,soft,non,0.892078161239624
"Wilmar adopts a data-driven approach, consistently aiming to Material palm disclosures such as traceability to mill and
Our goal is to achieve a supply chain free of deforestation, deliver the highest levels of clarity, accuracy, and transparency plantation data, satellite monitoring efforts and the NDPE IRF
peatland degradation and social exploitation.",True,True,True,True,,soft,non,0.8341952562332153
transform our supply chain to improve traceability and alignment Sustainability Dashboard.,False,True,False,False,,soft,non,0.8319874405860901
"Beyond compliance, traceability also enables us
December 2024, we have achieved 98.5%* TtM for crude palm
to provide targeted support to smallholders to improve their
oil (CPO) and palm kernel oil (PKO), representing approximately * Limited assurance conducted by CU.",False,True,False,False,,soft,spec,0.8794821500778198
"Since then, we have
expanded our traceability initiatives to include our entire supply Satellite Monitoring
chain, and we are dedicated to reaching 100% TtP by 2025.",False,True,False,False,2025,soft,spec,0.7618377804756165
"our Origin Refineries in Indonesia and Malaysia were from mills profiles, Wilmar recognises the need for increased engagement
captures activities related to fulfilling these commitments,
delivering on No Deforestation commitments.",True,False,True,False,,hard,non,0.5950782299041748
"to eliminate greenhouse gas emissions from land-use changes Refineries, 87.8%* were from supplying mills that are delivering
Since 2019, Wilmar has been actively involved in the NDPE IRF
and deforestation.",True,False,True,False,,soft,spec,0.8081666827201843
our deforestation- and conversion-free commitments.,True,False,False,False,,soft,non,0.5197317004203796
"Adopting a
responsible approach to identifying and protecting HCV-HCS areas is critical to sustainable palm oil.",False,False,False,False,,soft,non,0.7891018390655518
"These guidelines support the implementation of (SEARRP), Wilmar supported research-led programmes that
conservation actions on the ground and provide guidance for promote BMPs within plantation landscapes.",False,False,False,False,,soft,non,0.8422400951385498
"Since joining the
FFA, Wilmar has carried out fire-free socialisation programmes in We work with local communities to improve livelihoods through programmes that promote
Wilmar has a No Burning policy for land preparation or 147 villages, including 77 located around existing management
sustainable agriculture, provide education and support smallholder farmers.",False,False,False,False,,soft,spec,0.581489086151123
"In 2019, we introduced a
delivering a shared roadmap for accelerated action within related to Forest, Land and Agriculture (FLAG) across all particularly when they are involved in unsustainable traceability tracking tool (WT3) to assist smallholders,
the supply chain to halt commodity-linked deforestation in Scope 1, 2 and 3.",True,True,False,False,,soft,non,0.7868193984031677
3 targets for FLAG and Energy/Industry) were validated by deforestation-free status of their FFB supply.,True,False,False,False,,hard,non,0.5086017847061157
"In the same year, Wilmar joined the Science Based Target here.",False,False,False,False,,soft,non,0.6050732135772705
"Production and Protection Beyond Concessions11
Wilmar plays an active role in the PPBC Action Group, a to plan and implement longer-term forest and livelihood
Malaysian Sustainable Palm Oil
coalition of 12 companies and technical groups coordinated positive actions that proactively, holistically and inclusively
by Proforest, a global non-profit organisation.",False,False,False,False,,soft,non,0.8271386623382568
"The Malaysian Sustainable Palm Oil (MSPO) is a national has actively contributed to the revision of the MSPO
certification scheme which forms the basis of mandatory Standards as part of a working group alongside industry
Various monitoring systems today issue regular The PPBC Action Group was formed to scale up action
legal framework for sustainable palm oil production.",False,False,False,False,,soft,non,0.7523526549339294
"In Work For ALL (formerly Verité Southeast Asia), Landesa and smallholders and adopting sustainable farming practices can • No forced or bonded labour
It also establishes a framework for suppliers to implement the Earthworm Foundation.",False,False,False,False,,soft,non,0.6608439683914185
"To drive our No Exploitation commitment forward, Wilmar actively engages in multi-stakeholder initiatives and partnerships that
promote human rights protection.",False,False,False,False,,soft,non,0.9231197834014893
"The working group is a collective of 32 companies collaborating on
issues such as responsible recruitment in Malaysia, HRDD systems and protecting the rights of indigenous
peoples and local communities.",False,False,False,False,,soft,non,0.8674749732017517
