company,claim
gentingplantations,"In this regard, GENP takes proactive and
decisive actions to mitigate climate-related risks, safeguarding both our operations and Energy use and emissions management formed a further layer of environmental
the ecosystems in which we operate."
gentingplantations,"GENP continued to manage fuel consumption and on-site energy generation
within established operational parameters, including the use of biomass by-products
We remain firmly committed to our “Zero-burning Policy” for all land-clearing activities from milling activities."
gentingplantations,"Data collection and internal tracking supported ongoing
as well as our long-standing No Deforestation, No Peat and No Exploitation (“NDPE”) monitoring of energy use and emissions across operations."
gentingplantations,"We extend these sustainability standards across our value chain by continuously
Recycled about Established roadmap Water consumption
engaging with vendors and suppliers on our Sustainability Policy and Environmental for phased installation reduction by
1,133,335
Policy, reinforcing responsible sourcing and environmental accountability throughout of Methane Capture
31%
our operations."
gentingplantations,"metric tonnes of systems across
biomass GENP’s oil mills
Our climate mitigation efforts are further guided by frameworks such as the Roundtable
on Sustainable Palm Oil (“RSPO”) New Planting Procedure and the Malaysian
Sustainable Palm Oil (“MSPO”) standards, alongside our internal Sustainability Policy."
gentingplantations,"Engaging Our Community
Climate-related risks are systematically managed through our Environmental Policy
and Environmental Management Guidelines, supported by a climate action plan."
gentingplantations,"In 2025, we
Through a structured approach, we continue to advance emission reduction efforts,
continued to work closely with the communities surrounding our operations, supporting
improve resource efficiency and strengthen supply chain resilience, thus ensuring the
initiatives that improve daily living conditions and strengthen local infrastructure."
gentingplantations,"Our endeavour to embrace
• 2/2 biodiesel plants certified and demonstrate the concepts
of the four pillars through
ISCC our strategies and initiatives
CUSTOMERS
enables us to manage risks
• 100% certified in Malaysia
and opportunities, as we
seek to continuously create
MSPO
sustainable value for our
• 100% certified in Malaysia stakeholders."
gentingplantations,We actively participate • Environmental Matters pg.
gentingplantations,"70-73
in both individual and collaborative efforts with key
stakeholders and industry peers to encourage positive Industry Groups 1, 2, 3, 4 • Environmental Matters pg."
gentingplantations,"Our aim is to reduce negative
impacts along our value chain while
delivering value for our business and
stakeholders."
gentingplantations,"rainfall, and temperature variability."
