company,claim
musimmas,"103 Musim Mas' Contributions to
48 Community Development and
the SDGs
Mission
Empowerment
108 Glossary
Driven by a passion for excellence and commitment to continuous
51 Business Ethics
improvement, we strive to be the leader in the palm oil industry, producing
110 Contact
52 Pillar 2: Deliver Positive
all our products in an economically viable, socially responsible and
Environmental Impacts
environmentally appropriate manner in full compliance with all relevant
legal requirements."
musimmas,"Progress made
Develop a climate resiliency and mitigation strategy for our upstream operations In development based on our 2023 internal climate risk assessment."
musimmas,"Moving forward,
Reduce GHG emission intensity at RSPO-certified upstream operations by 55% Exceeded target two years ahead of schedule, reaching 2.66 MT CO e/
our Group-level
2025 2
against 2006 baseline MT CPO in 2023."
musimmas,"New: Reduce absolute Scope 1, 2, and 3 non-FLAG2 GHG emissions by 42% 11.24% reduction in Scope 1, 2, and 3 non-FLAG emissions against 2021
2030 On track
(SBTi near-term target) baseline."
musimmas,"On track
Ensure 100% deforestation-free supply chain 2025 Achieved 99.47%* deforestation-free supply chain."
musimmas,"Our net-zero
supply chain partners with a strong
own operations."
musimmas,"Comprehensive
we confirmed that 99.47% of our supply
Closer to home, our pioneering leadership
effort has been taken to ensure European
chain was deforestation-free in 2024."
musimmas,"Beyond emissions reduction, we continue
Equally important, we conducted a In 2024, we officially adopted an ambitious
to conserve nearly 14% of our titled
Taskforce on Climate-related Financial target for net-zero emissions by 2050,
land, underscoring our commitment to
Disclosures (TCFD) pilot assessment aligned with a science-based approach to
responsible land management."
musimmas,"to align our reporting with the TCFD reduce greenhouse gas (GHG) emissions
framework."
musimmas,"This allows us to disclose consistent with the Paris Agreement’s 1.5°C
climate-related risks more clearly and goal."
musimmas,"I am proud that we were among the
in line with International Sustainability first companies in the agricultural sector
Standards Board (ISSB) standards to have these targets validated by the
and Singapore’s mandatory climate Science-Based Targets Initiative (SBTi)."
musimmas,"agricultural practices, and contribute
to sustainable and responsible palm meaningfully to community well-being."
musimmas,"Research Center in Riau, our Musim
Through collective efforts, we will continue
Mas GS series of high-yield oil palms can
to achieve our sustainability objectives
potentially double our crude palm oil
and build a responsible value chain that
yield."
musimmas,"They are also aligned with the
four pillars of our Sustainability Policy, Human rights and labour rights
specific aspects of our NDPE roadmap, Fire and haze prevention
Prioritization
and the SDGs that we contribute to."
musimmas,"under the Sungai to train more than
organizations, and integrate smallholders Landscape Programme Linau Landscape 1,000 independent
suppliers in 2020: into the sustainable established by the WSP implemented Conservation smallholders in
The first Smallholders palm oil supply chain, Proforest-Daemeter here and Livelihoods sustainable palm
Hub was established reducing deforestation."
musimmas,"These results demonstrate the effectiveness of
We continued to partner with
regenerative agriculture practices in improving
Our programs aim to support smallholders on the ground:
Eidgenössische Technische Hochschule
soil health and productivity."
musimmas,"to:
includes: Selected villages have received training
Launched in 2021, the BIPOSC Project is a
• Operate a sustainable composting unit,
• Seven demonstration plots for oil palm on GAP, NDPE principles, and financial
ten-year initiative helping 2,500 smallholders
producing 100–150 tonnes of affordable
regenerative agriculture literacy."
musimmas,"supply 100% deforestation-free FFB, including
organic fertilizer from mill byproducts
• 20 hectares of demonstration plots for
members of cooperatives, farmer groups, and
Participating villages are randomly
monthly, available to farmers at 40% cheaper
agroforestry
associations."
musimmas,"This initiative helps smallholders secure financing with the Danish Government, Preferred by Nature,
expertise as one of the partners fulfilling its
for sustainable palm replanting, increasing their income while preventing Ferrero, Sustainable Agriculture Network (SAN), and
designated function."
musimmas,"Danish government in collaboration with Preferred by Nature, Jérémie heads the Asia team of L3F, a public-private
Ferrero, SAN, Agriterra, and Musim Mas for Sustainable Palm initiative that supports sustainable agriculture and rural
Abler Nordic, Livelihoods Funds, Musim Mas, and Temasek Foundation Launch
Oil Production in Indonesia development, particularly for smallholder farmers in
Blended Finance Initiative on Sustainable Oil Palm to Combat Deforestation and
developing countries."
musimmas,"The information
Community Rights
we gather helps us formulate our land Our commitment to responsible growth is
We respect and uphold the human rights use, development, monitoring, and rooted in the first pillar of our Sustainability
of all community members and obtain management plans."
musimmas,"Through this program, we aim to foster collaboration between
operations in Indonesia, including our
academia and industry to develop actionable solutions for sustainability challenges."
musimmas,"The resulting targets are Most recently, we adopted a science-based near- and long-term reduction targets
to a low-carbon future generates new outlined in our Biodiversity and Climate approach to our GHG emissions targets validated by the SBTi in October 2024.."
musimmas,"They are part of our in alignment with the Paris Agreement’s a result, our targets comply with the SBTi
the growing demand for low-carbon commitment to sector-level value chain goal of limiting global warming to 1.5°C Corporate Net-Zero Standard and the SBTi
products and developing climate- action under the COP2715 Agriculture above pre-industrial levels."
musimmas,"Using 2021 as the Group’s baseline
we continue to invest in decarbonization set our net-zero emissions targets and year, Musim Mas has committed to the
initiatives, including the installation of Over the years, we have tracked and are proud to have had our ambitious following:
methane capture technology that began reported on the GHG emission intensity
in 2010."
musimmas,"Our initial
Category Near-Term 2030 Targets Net-Zero 2050 Targets
renewable energy sources, notably by goal was to achieve a 55% reduction
recycling palm kernel shells and installing by 2025 against our 2006 baseline."
musimmas,"Our initial target exceeded palm Reduce absolute Scope 1 and 3 Reduce absolute
FLAG FLAG GHG emissions Scope 1 and 3 FLAG GHG
have optimized our day-to-day practices to oil industry standards at the time, and
by 30.3% by 2030 emissions by 72% by 2050
uphold our no deforestation and no peat we are raising the bar again by adopting
planting commitments."
musimmas,"Furthermore, we engage with suppliers global low-carbon emission goals and
on our No Deforestation, No Peat, and international frameworks, such as the
Our SBTi-validated targets apply to the Group’s operations including upstream,
No Exploitation (NDPE) policies and our GHG Protocol and Science Based Targets
midstream, and downstream operations."
musimmas,The remaining decarbonization efforts.
musimmas,"Methane Captures
A dedicated Net-Zero Task Force has
One of our significant sources of upstream
been established to lead the Group’s
emissions is the methane generated from
climate action programs."
musimmas,"Besides lowering our Scope 1 emissions by
capturing methane, our biogas plants have
We will provide more information about
reduced our consumption of purchased
emissions reduction interventions and
electricity from the grid."
musimmas,"increases on our business, including: projects a global temperature increase of
significance based on their severity and
up to 1.5°C due to concerted international
likelihood, alongside our operations’
We conducted a preliminary study in
• Climate-related physical risks – which efforts."
musimmas,"17 Paris-aligned scenarios are projections that are consistent with the Paris Agreement’s goals, which aim to restrict global warming to well below 2°C through efforts to limit it to 1.5°C above pre-industrial levels."
musimmas,"For example, our NDPE and sustainability policies
• Potential revenue loss
free products and ensure supply chain include commitments to No Deforestation and traceability to
from instances of non-
Climate or
traceability."
musimmas,"Countries where we operate already have or Regulatory • Increased operating and We are committed to reducing our GHG emissions by setting
are planning to implement carbon pricing procurement costsas a Medium ambitious targets aligned with the SBTi."
musimmas,"improved agricultural productivity Medium to
Long Term
• Reduced soil degradation
Increased Use of
Precision Agriculture
Using renewable energy sources, including on-site solar and Technology • Decreased carbon-related costs when regulatory
biomass, as well as renewable energy certificates (RECs), as fossil pricing is in place Long
fuel substitutes."
