claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"By harnessing the power of innovation,
we unlock sustainable solutions that benefit
our people, communities, and the planet.",False,False,False,False,,soft,non,0.7816467881202698
"Our vision of a “Beyond Zero” future inspires our
efforts to create new opportunities for a better
world.",False,False,False,False,,hard,non,0.8503534197807312
"Launched in 2024, our “Beyond Zero” development programmes, we help them to enhance productivity,
future-proofs our organisation.",False,False,False,False,,hard,non,0.6087595224380493
"Solomon Islands, with 35,799 benefitting from our engagement
green industrial parks.",False,False,False,False,,soft,spec,0.8022421598434448
"GOING BEYOND
As we scale our business and sustainability initiatives, we are In FY2024, we achieved a 24% reduction in our net Scope 1
Reinforcing our commitment to Environmental, Social, THE ROAD AHEAD
committed to growing alongside our people, smallholders, and Forest, Land, and Agriculture (FLAG) emissions, as well as our
and Governance (ESG) principles, we introduced our
communities, driven by our purpose of “Care to Nourish, Dare to Scope 1 Energy and Industrial emissions, compared to our Moving forward, we will continue to stay true to our purpose,
new sustainability framework – “Beyond Zero”.",False,False,False,False,,hard,spec,0.7791920900344849
"people and the planet, while strengthening partnerships and
responsible growth holistically, and create long-term value
with them to promote responsible agriculture practices.",False,False,False,False,,soft,non,0.8751815557479858
"Leveraging our supply chain in Papua New Guinea and ADVANCING SUSTAINABLY this puts us in a strong position to achieve our target of
100,000 hectares by 2030.",False,False,False,False,2030,soft,spec,0.8931795954704285
"We are developing a regenerative agricultural
totalling 40,250 metric tonnes of EUDR-compliant palm oil to certified sustainable palm oil, we will continue to embrace our
Europe and the United Kingdom.",False,False,False,False,,soft,spec,0.8746157288551331
"Commitments Sustainability Risks and Opportunities Performance Commitments Sustainability Risks and Opportunities Performance
Zero Transform
Zero Emissions: Reach net-zero • Climate Change and No • Net-zero Progress (compared to Promoting Human, Land, and • Human Rights and • Ongoing participation in:
greenhouse gas (GHG) emissions Deforestation, No Peat, and No FY2020 baseline respectively): Labour Rights: Advocate for Fair Labour Practices – Human Resources Ministry
across our value chain by 2050.",True,False,False,True,2050,hard,non,0.6713624000549316
"Transforming Lives Through • Community Rights and Development • 46,672 smallholders in our supply
Smallholder Engagement: chain across Malaysia, Indonesia,
Zero Harm: Ensure a fully traceable, • Supply Chain Management • Achieved 96.9% traceability to mill
Support 50,000 smallholders Papua New Guinea, Solomon
deforestation-free supply chain • Health and Safety and 84.9% to plantations, as well as
with capacity-building programmes Islands, and Thailand*.",True,True,False,False,,hard,spec,0.6714556813240051
"through capacity building and
Tackling Waste Through Circularity: • Responsible Consumption • 86% of all energy used in our training programmes.",False,False,False,False,,soft,spec,0.5526567697525024
"Maintain circularity in waste streams and Production operations was derived from • 19,555 smallholders in our supply
and develop pathways to minimise • Waste and Effluent Management biomass and biogas.",False,False,False,False,,soft,non,0.6139599084854126
implement a Biodiversity Conservation • Responsible Consumption in progress.,False,False,False,False,,soft,non,0.8148698806762695
and pilot a regenerative agriculture is in progress.,False,False,False,False,,soft,non,0.5380350947380066
"Restore, rehabilitate or conserve – Reforestation in Malaysia: Protection: Maintain zero non- Data Protection
compliance with data privacy and
100,000 hectares by 2030.",False,False,False,False,2030,hard,spec,0.7099627256393433
"Our key priorities include science-based goals to reach net-zero, cultivating positive outcomes for
nature, and advancing human and labour rights in the palm oil sector.",False,False,False,False,,hard,non,0.7676898241043091
"100% 100%
Achieved Achieved Became the
Malaysian Sustainable Palm Oil Roundtable on Sustainable first palm
(MSPO)-certified mills and Palm Oil (RSPO)-certified mills
“BEYOND ZERO” FRAMEWORK oil company
became the largest producer
of MSPO-certified palm oil Established a with net-zero targets
Reducing operational emissions is critical to all businesses.",False,False,False,False,,hard,spec,0.8020480275154114
"We are guided by approved by SBTi
Zero 2030 target
our Net-Zero Roadmap and targets – making us the first in our industry to be
Emissions 98%
ZERO approved by the Science Based Targets initiative (SBTi).",False,False,False,False,2030,hard,spec,0.6657552719116211
"Achieved for greenhouse gas
traceability to mill (GHG) emissions intensity 15 MW
Secured a
Zero Traceability, supplier engagement, and labour rights are fundamental to our for SD Guthrie’s (40% against 2009 baseline) quota for the development of
operations, and a testament towards our commitment of No Deforestation, global supply chain
Harm SD Guthrie’s first solar power
No Peat, and No Exploitation (NDPE).",True,True,True,True,,hard,spec,0.8312857747077942
"Harvested the very first towards accelerated (Kedah, Malaysia) under the
Waste By identifying new waste stream pathways, we are able to minimise GenomeSelect® oil palms, mechanisation, Corporate Green Power
Through environmental impact while enhancing resource efficiency and sustainability.",False,False,False,False,,soft,spec,0.6221827864646912
"demonstrating the potential to automation, Programme (CGPP)
Circularity increase and
digitalisation
yield by 20%
In safeguarding biodiversity, we will build on existing initiatives and develop to transform plantation
as compared to SD Guthrie’s
Improving a Biodiversity Conservation Plan across our key sourcing countries.",False,False,False,False,,soft,non,0.6700373888015747
"We also previous best planting material operations and reduce dependence
RESTORE Biodiversity aim to issue a Taskforce on Nature-related Financial Disclosures (TNFD)- on manual labour
aligned report.",False,False,False,False,,soft,non,0.8551459312438965
"By developing a regenerative agricultural framework through collaborative
Regenerative
efforts for use across our operations, we are able to further enhance soil
Agriculture
health, biodiversity, and resilience of our agricultural operations.",False,False,False,False,,soft,non,0.9019794464111328
"We extend our efforts beyond our operations, actively supporting nature
Restoration via multiple ongoing conservation initiatives, including reforestation, 2024 ACHIEVEMENTS 2030 2050
and
peatland rehabilitation and the conservation of 100,000 hectares across
Conservation
our sourcing landscape.",False,False,False,True,2030,soft,spec,0.6695035099983215
"Launched the To become fully traceable Reach net-zero
and deforestation-free greenhouse gas
Transforming With smallholders being an essential part of our supply chain, we strive to Framework for sustainability emissions across
Lives and improve their lives and livelihoods through training and certification.",True,True,False,False,,hard,non,0.6659412980079651
"our value chain
Livelihoods To launch SD Guthrie’s Biodiversity by 2050
TRANSFORM 3rd Conservation Plan and develop a
Ranked in the 2024
Promoting To support our workers and bolster our supply chain, we continuously seek Regenerative Agriculture Framework by 2025
SPOTT Palm Oil Assessment,
Human, Land, to improve human rights and labour standards while leveraging our influence
with a score of 94.8%
and Labour to advocate for greater change across the industry.",False,False,False,False,2025,soft,non,0.5641469359397888
"Through responsible supply chain management, ethical sourcing, and effective waste
management reduction strategies, we continue to minimise our environmental footprint while building
long-term resilience.",False,False,False,False,,soft,non,0.865584671497345
"As a leader in the palm oil industry, we aim to protect the environment and reduce emissions to drive sustainable agriculture.",False,False,False,False,,soft,non,0.6815177798271179
"By proactively identifying and managing climate and sustainability-related risks and opportunities, we ensure long-term business
resilience while upholding environmental stewardship.",False,False,False,False,,soft,non,0.9710000157356262
"By implementing investments, acquisitions, divestments, or capital expenditures
• Reduction of emissions from
methane capture technologies, enhancing energy efficiency, reviewed by the Group Investment Committee must include an
key sources
and optimising sustainable logistics, we are actively reducing evaluation of their impact on the Group’s greenhouse gas
our supply chain’s carbon footprint.",False,False,False,False,,soft,non,0.7606782913208008
