company,claim,specificity_score,sentiment_score,sentiment_method,deforestation,traceability,ndpe,peat,deadline,strength,specificity,esg_category,esg_category_score,climate_sentiment,climate_sentiment_score
apical,"The award recognises Apical’s leadership in
• Apical sources CPKO from kernel crushing plants to process
advancing a responsible, deforestation-free and Continuous monitoring and and produce palm kernel oil products.",0.5015770792961121,0.882156879408285,finbert,True,False,False,False,,hard,spec,Ecological_Impacts,0.6031,neutral,0.5207
apical,"Under Apical2030, the Group has Apical also supports the development of social
to support EUDR compliance, while reinforcing committed to supporting the protection and forestry initiatives, with 127 hectares approved
transparency, accountability, and responsible conservation of 150,000 hectares of forest and under the social forestry scheme by KPH Bengalon.",0.7435173392295837,0.8225289382971823,finbert,False,False,False,False,2030.0,soft,spec,Ecological_Impacts,0.9463,opportunity,0.9093
apical,The Group has peatland by 2030.,0.7999842762947083,0.5789424004033208,finbert,False,False,False,True,2030.0,soft,spec,Ecological_Impacts,0.9136,neutral,0.9322
apical,"Other key initiatives include alternative Aceh Singkil, Indonesia 12 17,758 ha of forest protected
traceability, accountability, and partnerships across livelihood programmes such as Trigona honeybee 2,000 trees planted at restoration area
the supply chain.",0.8018080592155457,0.7692007580772042,finbert,False,True,False,False,,soft,spec,Supply_Chain_Management,0.6726,opportunity,0.9449
apical,"Through
the partnership, certified sustainable palm oil
derivatives were developed into “Batik Sawit”,
supporting the preservation of traditional
craftsmanship while reducing environmental
Renewable Energy Efficiency Circular impact.",0.6801416277885437,0.7725976160727441,finbert,False,False,False,False,,soft,spec,Product_Design_And_Lifecycle_Management,0.7237,opportunity,0.9572
apical,"repurposing waste to minimise Laweyan, enabling the replacement of non-
renewable materials with sustainable palm-
our footprint.",0.6627070307731628,0.7292947978712618,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.9732,opportunity,0.8837
apical,"As part of our commitment of Environment, and Ministry of Forestry of the sustainable alternative to traditional petroleum-
Today, around 40 batik entrepreneurs are using
to resource efficiency and circularity, we explore Republic of Indonesia and the Environmental based paraffin wax used in batik production.",0.6040990948677063,0.6503666401840746,finbert,False,False,False,False,,soft,spec,Energy_Management,0.4413,opportunity,0.9198
apical,"the innovation, which has improved production
opportunities to minimise our environmental Agency of the Jakarta Province through the Recognised as one of the oldest and largest batik efficiency by reducing melting time and cutting
footprint, including the use of biomass for energy Electronic Environmental Reporting Information districts in Indonesia, Kampung Batik Laweyan LPG gas consumption by half.",0.7542082667350769,0.9380210372619332,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.5925,opportunity,0.9531
apical,"In 2025, we reduced Transforming waste into value-added products is central to Apical’s circular economy approach and
our waste generation by 18.10% compared to 2024.",0.919912040233612,0.9047524752095342,finbert,False,False,False,False,2025.0,soft,spec,Waste_And_Hazardous_Materials_Management,0.9753,opportunity,0.6024
apical,"Compared to the 2020 baseline of 588,384 tonnes, we Green Innovation pillar.",0.9424980878829956,0.916900061070919,finbert,False,False,False,False,,soft,spec,Product_Design_And_Lifecycle_Management,0.4814,neutral,0.6371
apical,"As part of its Green Innovation pillar, Apical is advancing solutions that convert
have reduced our waste generation by 78.1%.",0.8775721788406372,0.7901124516502023,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.968,opportunity,0.9548
apical,"Scheduled for commissioning in early 2027, the
128,670
biorefinery is projected to produce up to 500,000 tonnes of SAF and renewable diesel annually using waste-
based feedstock.",0.9550949931144714,0.6803034632466733,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.9305,opportunity,0.9469
