company,claim
wilmar,deforestation and mitigating climate impacts.
wilmar,"Beyond continually bolstering our supplier monitoring, we a significant slowdown in deforestation in key regions and the
proactively identify and assess high-risk suppliers and work preservation of millions of hectares of forestland."
wilmar,"When compliance issues
challenges associated with palm oil production such as arise, we take decisive action which may include removing non-
deforestation, biodiversity loss and exploitation risks."
wilmar,"The European Union Deforestation Regulation
Sustainability is at the core of our operations, guided by our
No Deforestation, No Peat, No Exploitation (NDPE) commitment
As part of our commitment to deforestation-free practices, we closely monitor our operations and third-party suppliers at
since 2013."
wilmar,"This aligns with our broader NDPE Policy and extends to
sustainable practices as well as champion human and labour conserving biodiversity across our operations and supply chain."
wilmar,"At Wilmar, our mission is to produce palm oil responsibly,
We welcome and support the EUDR as a crucial step in encouraging the consumption of deforestation-free products and
balancing the needs of people and nature."
wilmar,addressing global deforestation and forest degradation.
wilmar,"In addition, we actively engaged with our suppliers, who play a crucial role in making sustainable agriculture and food
production a reality."
wilmar,"By working closely with them, we aim to promote sustainable practices, improve transparency and
Our NDPE Policy has been a cornerstone of our sustainability
support the collective goal of building a more sustainable and responsible supply chain."
wilmar,"Wilmar adopts a data-driven approach, consistently aiming to Material palm disclosures such as traceability to mill and
Our goal is to achieve a supply chain free of deforestation, deliver the highest levels of clarity, accuracy, and transparency plantation data, satellite monitoring efforts and the NDPE IRF
peatland degradation and social exploitation."
wilmar,transform our supply chain to improve traceability and alignment Sustainability Dashboard.
wilmar,"Beyond compliance, traceability also enables us
December 2024, we have achieved 98.5%* TtM for crude palm
to provide targeted support to smallholders to improve their
oil (CPO) and palm kernel oil (PKO), representing approximately * Limited assurance conducted by CU."
wilmar,"Since then, we have
expanded our traceability initiatives to include our entire supply Satellite Monitoring
chain, and we are dedicated to reaching 100% TtP by 2025."
wilmar,"our Origin Refineries in Indonesia and Malaysia were from mills profiles, Wilmar recognises the need for increased engagement
captures activities related to fulfilling these commitments,
delivering on No Deforestation commitments."
wilmar,"to eliminate greenhouse gas emissions from land-use changes Refineries, 87.8%* were from supplying mills that are delivering
Since 2019, Wilmar has been actively involved in the NDPE IRF
and deforestation."
wilmar,our deforestation- and conversion-free commitments.
wilmar,"Adopting a
responsible approach to identifying and protecting HCV-HCS areas is critical to sustainable palm oil."
wilmar,"These guidelines support the implementation of (SEARRP), Wilmar supported research-led programmes that
conservation actions on the ground and provide guidance for promote BMPs within plantation landscapes."
wilmar,"Since joining the
FFA, Wilmar has carried out fire-free socialisation programmes in We work with local communities to improve livelihoods through programmes that promote
Wilmar has a No Burning policy for land preparation or 147 villages, including 77 located around existing management
sustainable agriculture, provide education and support smallholder farmers."
wilmar,"In 2019, we introduced a
delivering a shared roadmap for accelerated action within related to Forest, Land and Agriculture (FLAG) across all particularly when they are involved in unsustainable traceability tracking tool (WT3) to assist smallholders,
the supply chain to halt commodity-linked deforestation in Scope 1, 2 and 3."
wilmar,3 targets for FLAG and Energy/Industry) were validated by deforestation-free status of their FFB supply.
wilmar,"In the same year, Wilmar joined the Science Based Target here."
wilmar,"Production and Protection Beyond Concessions11
Wilmar plays an active role in the PPBC Action Group, a to plan and implement longer-term forest and livelihood
Malaysian Sustainable Palm Oil
coalition of 12 companies and technical groups coordinated positive actions that proactively, holistically and inclusively
by Proforest, a global non-profit organisation."
wilmar,"The Malaysian Sustainable Palm Oil (MSPO) is a national has actively contributed to the revision of the MSPO
certification scheme which forms the basis of mandatory Standards as part of a working group alongside industry
Various monitoring systems today issue regular The PPBC Action Group was formed to scale up action
legal framework for sustainable palm oil production."
wilmar,"In Work For ALL (formerly Verité Southeast Asia), Landesa and smallholders and adopting sustainable farming practices can • No forced or bonded labour
It also establishes a framework for suppliers to implement the Earthworm Foundation."
wilmar,"To drive our No Exploitation commitment forward, Wilmar actively engages in multi-stakeholder initiatives and partnerships that
promote human rights protection."
wilmar,"The working group is a collective of 32 companies collaborating on
issues such as responsible recruitment in Malaysia, HRDD systems and protecting the rights of indigenous
peoples and local communities."
