claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"The successful
contributed to a notable 24.6 % certification of banana operations under Rainforest
Alliance and Fairtrade standards reinforced the
production increase.",False,False,False,False,,soft,spec,0.6979946494102478
"01
E Production of bananas in Côte
03
d’Ivoire increased by 24.6% compared
to 2023.",False,False,False,False,,soft,spec,0.7393245697021484
"that will add 1 568 certified hectares to
E SIPEF launched its innovative supply chain
SIPEF’s certified supply base.",False,False,False,False,,soft,spec,0.8736342191696167
"12 In Indonesia: CPO extracted at SIPEF's seven
8 Mill waste and by-products are used to mills is collected and transported by third
generate clean energy for all of SIPEF's mills party partners to tanker terminals for export
and surrounding communities.",False,False,False,False,,soft,spec,0.7460809946060181
"In 2024, SIPEF also continued investing in new
The Group is committed to implementing best machinery and refurbishing existing machinery to
management practices that aim to improve soil make production more efficient at its palm oil mills.",False,False,False,False,,soft,spec,0.774635910987854
"The refurbishments reduce oil losses
hectare.",False,False,False,False,,soft,spec,0.7506628632545471
"SIPEF installation of CPO washing facilities and biogas/
also continues to explore new opportunities for methane capturing plants, are planned for 2025.",False,False,False,False,2025,soft,spec,0.8105793595314026
"87%
RSPO certified Palm oil certification
CPO
SIPEF is working towards a target of 100%
Roundtable on Sustainable Palm Oil (RSPO) certi-
fication across all its palm oil operations, including
its smallholder supply base.",False,False,False,False,,soft,spec,0.6426814794540405
"As a result, all palm oil production from South
Sumatra is certified under the MB model.",False,False,False,False,,soft,spec,0.7766005992889404
"Oil palm F1 Hybrids have
the potential to double yield per hectare, thereby
helping to meet demand while mitigating risks of
deforestation and biodiversity loss.",True,False,False,False,,soft,spec,0.5035901069641113
"Further efforts are directed at utilising organic
fertilisers, such as compost derived from a combi-
Improvements in agronomic practices nation of palm oil mill empty fruit bunches (EFB)
VBS provides tailored agronomic recommendations and palm oil mill effluent (POME), or EFB alone
for each SIPEF estate block and field, aiming to where composting facilities are unavailable.",False,False,False,False,,soft,spec,0.551820695400238
"Additionally, a Bio-
CNG plant project is set to commence at Perlabian 70 The connection to the world of sustainable tropical agriculture
mill and Umbul Mas Wisesa mill in collaboration and emissions reduction initiatives underscore the
with the KIS Group, with expected completion by Group’s dedication to responsible and sustainable
end of 2025 and 2026 respectively.",False,False,False,False,2025,soft,spec,0.8541331887245178
"From here, Overall marketed production increased by 24.6%
the bananas are exported in refrigerated containers compared to 2023.",False,False,False,False,,soft,spec,0.848487138748169
"By the end of 2024, all the estates were fully plant-
ed, with the exception of the Akoudié site, which 2024 also saw 200-400mm less rainfall than
was acquired in 2021.",False,False,False,False,,soft,spec,0.8859336376190186
also increased by 4.9%.,False,False,False,False,,soft,spec,0.6343972086906433
significantly reduces plastic usage.,False,False,False,False,,soft,spec,0.5366537570953369
"The transition
to reusable plastic crates for fruit packaging has
SIPEF collaborates with a panel of ripener cus- also replaced traditional 18.5 kg cardboard boxes,
tomers that share a com- further reducing environ-
mitment to sustainability mental impact.",False,False,False,False,,soft,spec,0.638659656047821
"All SIPEF’s banana production is Fairtrade and
E
By working together in
Rainforest Alliance certified.",False,False,False,False,,soft,spec,0.5719154477119446
"achieving a 100% Roundtable on Sustainable Palm
Oil (RSPO) certified supply base for its palm oil
Key commitments and requirements: production, and for the smallholders delivering to
E 100% certification and traceability of products its mills.",False,True,False,False,,soft,spec,0.5044359564781189
"• Regenerative agriculture pilots with a model to scale
up at five sites by 2026 in oil palm operations.",False,False,False,False,,soft,spec,0.7989678382873535
"• Installation of rainwater harvesting system in all palm
oil mills by 2030.",False,False,False,False,2030,soft,spec,0.7656750082969666
