company,claim
astraagro,"The Company has adopted the theme “Reinforcing Sustainability” as a
commitment to strengthening sustainability for a better future, to enhance
productivity through innovation and efficiency, and to create a safe and
inclusive work environment."
astraagro,"We strive to achieve
sustainability excellence not only by complying with regulations but also
by actively seeking ways to make a positive contribution to society and the
environment."
astraagro,"100% deforestation-free products
2."
astraagro,"A certification that provides
assurance to consumers about
biomass products, particularly
palm kernel shells, originate from
sustainable and environmentally
friendly sources."
astraagro,"Inclusion
• Energy Management Commitment to support
Renewable energy by 93.4% in 2030."
astraagro,"Management
Reduce water withdrawal intensity by
24% in 2030."
astraagro,"• Solid Waste Management
100% solid waste recycling."
astraagro,"• Conservation of Peatland
100% Peatland are managed
sustainably in accordance with
national regulation."
astraagro,"The Company established a collabolration with academic
institutions through the Biodiversity Management and
Ecosystem Sustainability training program facilitated by
Center for Transdisciplinary and Sustainability Sciences
(CTSS) - IPB University."
astraagro,"Key stakeholders were mapped to
align cross-sectoral support and to ensure the sourcing and
procurement of deforestation-free Fresh Fruit Bunches (FFB)."
astraagro,"The Company consistently strengthens the implementation
of its Zero Burn Policy through the formulation and execution
of structured annual programs and activity plans under an
integrated fire prevention system across all operational units."
astraagro,"including 17 self-sufficient MPA groups, • The Company continues to strengthen the role Community
encourage another eight groups to reach self- Cares for Fire (MPA) by educating the community about
sufficiency, and establish an additional 22 new the prohibition and dangers of land burning, as well as
groups."
astraagro,"By the end of 2025, the Company has successfully
reduced emissions by 35.69% of the 30% target."
astraagro,"Application of biofertilizer (ASTEMIC) to reduce chemical
fertilizer use
3."
astraagro,"Reduction of riparian fertilizer, mangrove rehabilitation,
and carbon sequestration from existing conservation area
7."
astraagro,"across Astra Agro’s 31 mills will be achieved by • 100% of FFB supply sources (from partner networks to
the end of 2021 and will be followed by mapping smallholders) are traceable."
astraagro,"Kick-off and launch of the Women Champion program to fulfill gender
equality, reducing inequality and employee diversity and inclusiveness
5."
astraagro,"Decarbonization initiatives included
melalui upaya dekarbonisasi yaitu pengembangan the development of additional methane capture
fasilitas methane capture, yang meningkatkan facilities to enhance energy efficiency and reduce
efisiensi energi dan mengurangi ketergantungan fossil fuel dependency, optimization of the Water
pada bahan bakar fosil."
astraagro,"Selain itu, optimalisasi Water Management System (WMS) to reduce diesel
Management System (WMS) berhasil menekan consumption, and the implementation of ASTEMIC
penggunaan solar, sementara penerapan pupuk (Astra Efficient Microbes) biofertilizer to reduce
hayati ASTEMIC (Astra Efficient Microbes) mampu inorganic fertilizer usage and improve soil health."
astraagro,"Company’s resilience in navigating the transition
toward a low-carbon economy."
astraagro,"Methane gas generated from the
ditangkap dan dimanfaatkan kembali sebagai waste treatment process is captured and
energi, sehingga mengurangi ketergantungan reused as an energy source, reducing reliance
penggunaan pada bahan bakar fosil dan on fossil fuels and palm kernel shells usage."
astraagro,"Langkah ini meningkatkan efisiensi This initiative enhances energy efficiency while
energi sekaligus menurunkan emisi GRK secara significantly lowering GHG emissions."
astraagro,"Komitmen ini sejalan dengan Kebijakan This commitment is in line with the Company’s
Keberlanjutan Perseroan yang mencakup prinsip Sustainability Policy, which incorporates the
No Deforestation, Conservation of Peatland dan principles of No Deforestation, Conservation
Respect Human Rights."
astraagro,"In addition, the Company is
mencegah kehilangan habitat satwa liar dan committed to preventing wildlife habitat loss and
melarang segala bentuk perburuan terhadap strictly prohibits all forms of hunting of wildlife."
astraagro,"Agro reaffirms its commitment to maintaining
sustainable operations and safeguarding the
environment in a responsible manner."
astraagro,"Through
PT KTU, Astra Agro was recognized for demonstrating the implementation of sustainable and environmentally
responsible plantation governance as a concrete response to climate change challenges."
astraagro,"Selain itu, aplikasi continued to be utilized as organic matter sources
TKKS dan Palm Oil Mill Effluent (POME) terus to sustainably support soil fertility."
astraagro,"The Company seeks to optimize
penggunaan energi pada setiap tahapan proses energy use across all stages of the production
produksi, mulai dari transportasi bahan baku, process, from raw material transportation and
pengolahan, hingga operasional pendukung, processing to supporting operations, through the
melalui penerapan teknologi yang lebih efisien adoption of more efficient technologies and the
sekaligus pemanfaatan sumber energi rendah utilization of lower-carbon energy sources."
astraagro,"Salah satu langkah nyata yang telah dijalankan One tangible initiative implemented is the use of
adalah pemanfaatan bioenergi berupa biodiesel B40 biodiesel across various operational activities."
astraagro,"Sejak Since 2025, Astra Agro has been using B40 biodiesel
tahun 2025 ini, Astra Agro menggunakan biodiesel completely without the use of B35 and B30
B40 secara utuh tanpa penggunaan biodiesel B35 biodiesel."
astraagro,"which support enhanced engine efficiency while
Selain itu, biodiesel memiliki karakteristik reducing the overall carbon footprint of operational
pembakaran yang lebih baik sehingga membantu activities."
astraagro,"This illustrates the
Perseroan telah berhasil meningkatkan efisiensi Company has increased efficiency in energy
pengelolaan energi dalam proses operasional."
astraagro,"Oil Mill Effluent (POME) to reduce
chemical fertilizer use One of the sources of GHG emissions in the plantations sector is the use
of chemical fertilizers, which can release N₂O into the atmosphere."
astraagro,"To
reduce reliance on chemical fertilizers, We substitute part of their use
with composted Palm Oil Mill Effluent (POME)."
astraagro,"Baru Terbarukan (EBT)
Substitution of coal with palm
kernel shells as an energy source At our refineries units, We reduce coal consumption by substituting it
for refineries units with palm kernel shells as a source of renewable energy."
astraagro,"Therefore, we are committed to developing methane
capture facilities at our palm oil mills to capture and utilize methane as
an alternative energy source."
astraagro,"One of the climate change mitigation actions We undertake is
safeguarding our conservation area from logging and fires."
astraagro,"We also continue reforestation
efforts by planting forest species in designated conservation areas."
astraagro,"In collaboration with local governments and Environmental Offices, We
carry out mangrove rehabilitation through mangrove planting programs."
astraagro,"In oil palm cultivation, the
application of ASTEMIC biofertilizer can reduce the use of NPK fertilizer
dosage by 25%, while simultaneously improving soil fertility and
supporting optimal oil palm growth."
astraagro,"The replacement of pumps within the Water Management System (WMS)
forms part of the Company’s initiative to improve diesel fuel efficiency
and reduce emissions associated with pump operations."
astraagro,"This implementation is expected
to reduce diesel consumption per operating hour, thereby generating
direct cost savings in fuel expenditure and contributing to the reduction
of GHG emissions from WMS operational activities."
astraagro,"The initiative aligns
with the Company’s broader commitment to enhancing sustainable
operational performance, improving energy efficiency, and reducing its
carbon footprint."
astraagro,"To enhance
yang digunakan dalam proses pengolahan di PKS water-use efficiency, the Company applies water
dan penyulingan bersumber dari air permukaan reuse practices, including the use of condensate
dan air laut."
astraagro,"This commitment
Komitmen tersebut diwujudkan melalui program is implemented through the zero waste mills
zero waste mills, yang menargetkan pemanfaatan program, which targets the reuse of 100% of non-
kembali 100% limbah produksi padat yang hazardous solid production waste."
astraagro,"The use of environmentally friendly shopping
sebagai pengganti kantong plastik bags as substitutes for plastic bags
2."
astraagro,commitment to supporting sustainable operations.
astraagro,"Sementara plastic consumption through behavioral
itu, kampanye SEMANGKUP difokuskan pada change, such as encouraging the use of
upaya pengurangan penggunaan plastik sekali environmentally friendly shopping bags."
astraagro,"Company's operational Implementasi climate-smart pest management
emissions by 2030 while 3."
astraagro,"Reduction of inorganic fertilizers through ASTEMIC, EFB, and
effluent."
astraagro,"Implementation of Climate-Smart Pest Management
3."
astraagro,"Identification of existing CSR programs in villages targeted
to enhance climate under the DMPG initiative."
astraagro,"Implementation of energy efficiency technologies, including the
at improving energy development of methane capture facilities to convert emissions
efficiency."
astraagro,"hingga tahun 2030) Achieving a 30%
selaras dengan target decarbonization target by 1."
astraagro,"Periodically updating data sources used for decarbonization
Astra International."
astraagro,Regularly reviewing and identifying decarbonization strategies.
astraagro,Developing a Scope 3 decarbonization program.
astraagro,"Develop efficient
supply chains
& identify
decarbonization
opportunities
through Scope 3
emission assessment."
astraagro,"Implementing energy efficiency technologies, including the
with a clear achievement development of methane capture facilities to convert emissions
roadmap."
astraagro,"Changes in operational Promoting proactive
costs through differences engagement and research
in fertilizer use and into opportunities for
the use of substitute improving energy efficiency."
astraagro,"opportunities on Description of the organizational resilience strategy
the organization’s through consideration scenarios related to various
businesses, strategy, climates including 2° C or lower temperature scenarios."
