claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
GHG emissions by 18% compared to our 2016 baseline.,False,False,False,False,,soft,spec,0.8324941396713257
"However,
to achieve our 30% target by 2030 and lessen our climate footprint,
we are substantially ramping up investments in methane capture
and increasing the use of biocharcoal and organic fertilisers in the
Gunawan H.",False,False,False,False,2030,soft,spec,0.8814981579780579
"Consistent with Bumitama’s
reforestation and forest-positive programme, BBCP excelled - ABOUT THE REVIEWER
planting over 68,000 trees while adding 180 hectares of reforested Andrew works as a Senior Manager with the Landscape Programme at
area.",False,False,False,False,,soft,spec,0.6295257210731506
"1 methane capture facility is in
climate adaption 15 existing palm oil mills operation; 3 are in the pipeline
Reduce GHG emissions intensity by 30% 2030 On track.",False,False,False,False,2030,soft,spec,0.920200526714325
"Rolled out biocharcoal programme,
reductions through composting and increased compositing facilities, improving solid
solid separation separation for wastewater treatment
Waste management Develop a solid waste reduction policy for our 2023 In progress.",False,False,False,False,,soft,spec,0.8093441128730774
"12.2 Target revised to 2025
Pesticides and 85% of planted area to be rodenticide-free 2023 Achieved and exceeded in 2023 with 95% of
chemical usage (2018 baseline) operations rodenticide-free in 2023 and 96%
in 2024
12.4, 12.5 Develop a chemical fertiliser reduction 2024 Ongoing.",False,False,False,False,2025,soft,spec,0.8491406440734863
"However, plasma certified
area increased from 3.4% to 4.0% of total
plasma planted area since 2022
Community development Support 6 communities through social forestry 2025 Achieved and exceeded.",False,False,False,False,2025,soft,spec,0.8752895593643188
"| Sustainability Report 2024 - 12 - TRIPLE ZERO TARGET
PROGRAMME
(STEPWISE TARGETS)
In 2020, we launched our ambitious Triple
Zero Target Programme – an initiative aimed
at achieving zero occurrences related
to fires, environmental incidents, and
workplace accidents by 2025.",False,False,False,False,2025,hard,spec,0.5506480932235718
"As of December 2024, we have facilitated
Bumitama plays a substantial role in addressing industry-wide
certification for 2,483 hectares of plasma – an increase from
sustainability challenges.",False,False,False,False,,soft,spec,0.7142990231513977
"In 2023, we continued
our customers.",False,False,False,False,,soft,spec,0.7011592984199524
"This focus has led to strategic operational
investments to significantly reduce emissions from our mills,
particularly through methane capture and other initiatives.",False,False,False,False,,soft,spec,0.5929726362228394
"We
are also exploring new ways of decreasing chemical fertiliser
usage through application of compost and biocharcoal.",False,False,False,False,,soft,spec,0.5785395503044128
"we have identified
a net gain of 920.5 Our overarching objective is to increase total forest cover
hectares in forest in our company-controlled conservation areas by 10% by
land cover since 2020 2025 compared to our 2020 baseline of 34% (or a total
– representing forest cover target of 44%).",False,False,False,False,2025,soft,spec,0.9475119113922119
"This will be achieved through
active reforestation, planting, and fostering natural regrowth
a 5.3% increase
through company initiatives and community partnerships.",False,False,False,False,,soft,spec,0.7701152563095093
"As a result, meeting our annual forest programmes, we run reforestation activities across our
loss target of below 0.1% has been very challenging.",False,False,False,False,,soft,spec,0.7769634127616882
"and 2024, land-clearing resulted in the loss of 604 hectares
of forest within our managed area (401 hectares in 2023 and Since 2021, and with the help of BBCP and social forestry
203 hectares in 2024), representing 1.07% and 0.56% of initiatives, we have reforested 468 hectares with over
our conservation areas, respectively.",False,False,False,False,,soft,spec,0.9602803587913513
"- 27 - Environmental Protection and Land Use A landscape approach: the PPI Compact in Ketapang
We actively engage in multi-stakeholder initiatives such as the Sustainable Trade Initiative’s (Initiatief Duurzame Handel [IDH])
Production, Protection, Inclusion (PPI) Compact in the Ketapang region, which promotes sustainable production, forest
protection, and restoration across one million hectares.",False,False,False,False,,soft,spec,0.5397070646286011
"In partnership with local government authorities, we support restoration
programmes covering up to 20,000 hectares of forest and peatland, enhance sustainable palm oil production, and improve
the livelihoods of smallholders.",False,False,False,True,,soft,spec,0.7613872289657593
