company,claim
firstresources,"As of December 2024, more than 800 equivalent (tCO e) being emitted into the atmosphere."
firstresources,"have focused on environmental issues, including status, maintaining full traceability across our value
deforestation, peat, and climate change."
firstresources,"Since 2023, we have been
emissions and have now transitioned to the widely proactively introducing a Human Rights Due Diligence
adopted GHG Protocol."
firstresources,"conservation, and we have reforested more than 166
hectares of previously degraded land to date."
firstresources,"This commitment is guided by
our 2015 Policy on Sustainable Palm Oil, which outlines 03 04
our pledges to No Deforestation, No Peat, and No EMPLOYEE RELATIONS SUPPLY CHAIN
Exploitation (NDPE) and is in accordance with industry AND WORKPLACE Working towards a traceable and transparent
standards."
firstresources,"WE ARE FIRMLY efficiency of palm oil, improving product quality, and
COMMITTED TO IMPLEMENTING STRATEGIES strengthening resilience against climate change."
firstresources,These forest effectively applied throughout our value chain.
firstresources,"First Resources uses a variety of strategies to monitor
deforestation."
firstresources,"24,465 ha
opportunities to enhancing our deforestation HCV & HCS HCS
monitoring efforts."
firstresources,"In 2023, we partnered with
the Natural Resources Conservation Centre of East In 2025, we will continue the scheme in collaboration
A conservation and environmental education forest Kalimantan (BKSDA), under the Directorate General of with BKSDA and launch an enrichment planting
[GRI 13.4.1] Conservation of Natural Resources and Ecosystems, programme on the periphery of the Lembonah HPKL."
firstresources,"Our ongoing initiatives focus on
conversion activities across our sites and restoring
natural landscapes impacted by fires and non-
compliant deforestation."
firstresources,"We aim to rehabilitate
20 hectares of conservation area and plant more than 120.3 35,963
5,500 trees, annually."
firstresources,"Moreover, our habitat and
ecosystem maintenance efforts, including planting
food-source plants, continue to support the protection
of orangutan environments."
firstresources,"At First Resources, To manage peatlands effectively, we have implemented
and per our 2015 Policy on Sustainable Palm Oil, we several strategies, including blocking canals and
are committed to no further planting on peat."
firstresources,"GAPKI and the World Resources Institute (WRI) to enhance 2023, achieving our target to reduce fires each year."
firstresources,We uphold a Zero Burning Policy in all our planting our efforts in preventing fires and reducing deforestation.
firstresources,"As part of this initiative, we reference the Science
year on record – the first time annual global temperatures Based Targets initiative (SBTi) to guide our efforts in TCFD reporting and index [GRI 201-2]
have exceeded 1.5°C above pre-industrial levels.4 As an reducing our Scope 1, 2, and 3 GHG emissions."
firstresources,"First Resources has taken significant steps in addressing
climate change by implementing various initiatives to
reduce GHG emissions."
firstresources,"We went a step further with a Purchased goods and services
37.93% Use of sold products
more comprehensive assessment to determine a clear
3.39%
distinction between FLAG and non-FLAG emissions."
firstresources,"To achieve this, we are heavily investing in
Scope 1 FLAG emissions is our firm commitment to methane capture facilities to trap its release from
no deforestation and no planting on peat, ensuring that the POME treatment process."
firstresources,"In addition, achieved in 2024 was the successful commissioning of
First Resources has mapped the carbon sequestration two new methane capture facilities, bringing our total to
potential of approximately 24,000 hectares of HCV ten."
firstresources,"For more systems, we have successfully avoided emissions of
details, see Biodiversity protection and conservation."
firstresources,"Other factors that contributed to the reduction of our
METHANE CAPTURES AND EMISSIONS
Scope 1 non-FLAG emissions include the increased use of
AVOIDED (EST.) 2020–2024
renewable energy at our operations, particularly through
10
the utilisation of biogas fuel, biomass (namely palm oil
fibre and palm kernel shell), and the increasing use of palm breeding programme which aims to develop more
8 8 368,982 the biofuel blend of Methyl Ester (ME) in B35 biodiesel."
firstresources,"213,435 211,859
minimises methane generation during POME treatment
180,000
by efficiently disposing of solid organic matter that Our efforts also extend to our supply chain, where our
128,361
can also be reused as sustainable organic fertiliser."
firstresources,"We collaborate with them to ensure that
emission reduction measures are effectively applied."
firstresources,"This includes the use of biomass
(palm kernel shells and fibres), biogas, and biodiesel For this report, we have re-established our energy
In 2024, we used a total of 9,849,957 gigajoules (GJ) in our operations."
firstresources,"Additionally, 812,347 m3 of
water recycling initiatives, we have successfully met our steriliser condensate produced during the FFB sterilisation
water consumption intensity target of below 1.0 m3/MT process was recycled into our CPO dilution process."
firstresources,"We recycle and reuse all non-hazardous
organic fertiliser
waste generated by our upstream processes."
firstresources,"At
some mills, we have installed a real-time water quality
To avoid impacting groundwater and surrounding monitoring system called SPARING – Continuous and
water sources, we treat POME and palm oil refinery Networked Wastewater Quality Monitoring System."
firstresources,also developed a technique that has halved our use of riparian buffer zones is prohibited.
