company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
wilmar,SABAHMAS,Malaysia,5.179162,118.405246,24748.761016291737,23162.78577864525,6675.041364981466
wilmar,SAREMAS 1,Malaysia,3.524921,113.744412,24316.327518664286,22555.36477087222,3218.9170937148733
wilmar,SAREMAS 2,Malaysia,3.450453,113.765561,25173.78973217303,21479.57855506409,4849.482374820462
wilmar,TERUSAN,Malaysia,5.831514,117.340459,27842.201375505952,11132.33975703002,1352.2328613330494
wilmar,SAPI,Malaysia,5.733519,117.387404,27298.91624509548,19155.47444808737,2049.496048776632
wilmar,REKA HALUS,Malaysia,5.766708,117.463737,27816.506252367722,21937.687593169958,2394.1791038740666
wilmar,MUSTIKA SEMBULUH 1,Indonesia,-2.5905,112.511283,24074.339235376006,22355.02596058935,2236.5311185592245
wilmar,KERRY SAWIT INDONESIA 1,Indonesia,-2.784633,112.509533,26638.2588404807,22848.95878776499,510.81045079695406
wilmar,RIBUBONUS,Malaysia,5.686858,117.09226,26440.3876170074,9049.040674227479,1308.8836405745442
wilmar,SRI KAMUSAN,Malaysia,6.203802,117.291189,24374.88359980689,19042.318871154526,3019.406101897209
wilmar,PINANG AWAM,Indonesia,1.842826,100.203138,28060.05491726312,16111.809398678715,3977.560600486173
wilmar,KENCANA SAWIT INDONESIA,Indonesia,-1.46778,101.514439,26722.066553677363,20371.25528336075,9096.73681128851
wilmar,BURNAI TIMUR,Indonesia,-3.627,104.869467,18141.082059066368,13839.418132442506,2829.010822407336
wilmar,SARANA TITIAN PERMATA PKS 1,Indonesia,-2.894444,112.543611,25669.669037204163,17938.31183577682,496.5165747309444
wilmar,AMP PLANTATION,Indonesia,-0.154717,100.029167,23780.193225040042,8950.840161582408,1720.2564178301209
wilmar,DABUK REJO,Indonesia,-3.948633,104.957367,15582.639910560076,10553.599244840214,3856.074783389086
wilmar,BUMI SAWIT KENCANA,Indonesia,-2.230183,112.49125,19327.479687432817,15689.930635000639,1023.004633164256
wilmar,BENSO OIL PALM PLANTATION OIL MILL,Ghana,5.110717,-1.913683,30156.499645561,16961.912333519194,4057.083171595489
wilmar,DAYA LABUHAN INDAH 2,Indonesia,2.2861111,100.140833,23666.007676205976,14291.017632202052,3266.7193877226355
wilmar,GERSINDO MINANG PLANTATION,Indonesia,0.120549,99.718255,23758.83740310015,12116.423861223957,2994.256293552513
wilmar,MENTAYA SAWIT MAS,Indonesia,-2.16469,112.56942,22514.570949240562,12754.945815761286,1236.9014953057679
wilmar,RIMBA HARAPAN SAKTI,Indonesia,-2.835778,112.57178,25470.05608074356,16981.242072892306,494.66320085889436
wilmar,SUBURMAS,Malaysia,3.525253,113.357533,16120.491162836666,17812.85251755468,5803.043192437458
wilmar,KARUNIA KENCANA PERMAI SEJATI,Indonesia,-2.23985,112.63045,25011.7529788711,16348.054791835077,1122.5529842564727
wilmar,SELABU,Indonesia,-2.627033,103.818533,28530.48490749653,17319.19483230889,4077.349576629439
wilmar,AGROINDO INDAH PERSADA 1,Indonesia,2.778667,99.393433,28313.036107556993,16098.103067133941,1992.5664138555585
wilmar,BUMI PRATAMA KHATULISTIWA,Indonesia,-0.022183,109.424883,22122.03690125085,8550.150130068721,2119.54518163379
wilmar,SINAR SIAK DIAN PERMAI,Indonesia,0.449367,101.621217,19135.543960044462,17783.644038758244,6877.78553872741
wilmar,SIAK PRIMA SAKTI,Indonesia,0.651217,101.75405,22914.46404832348,15670.935328453133,2798.32725366621
wilmar,MURINI SAM-SAM PELINTUNG,Indonesia,1.6525,101.6381,18407.39679924593,14017.303632436857,767.0881717308606
wilmar,AGRONUSA INVESTAMA 2 - PAHAUMAN,Indonesia,0.275303,109.731414,28906.968653594096,15390.272203097222,2956.2347453422917
wilmar,SINAR PERDANA CARAKA,Indonesia,1.69192,100.55849,27654.686130265956,13538.618215490702,2040.6408363654566
wilmar,BULUH CINA,Indonesia,1.76856,100.493594,26712.194687910305,12159.728015975175,2498.858534856018
wilmar,AEK BATU,Indonesia,1.850583,100.1457,27330.62824641353,11883.397420586489,2564.4416643591258
wilmar,AGROINDO INDAH PERSADA 2,Indonesia,-1.963888,102.301111,28067.38042146698,16631.48125195969,6543.229299525134
wilmar,AGROINDO INDAH PERSADA 3,Indonesia,-4.010267,102.496717,27514.339495272805,10812.80687814603,3729.465759599534
wilmar,MURINI SAM-SAM KANDIS,Indonesia,1.060361,101.239417,23048.65213111093,13568.12032360042,1464.82965171968
wilmar,KERRY SAWIT INDONESIA 2,Indonesia,-2.69695,112.483083,25909.753513455868,24240.738417117453,718.6085531571573
wilmar,AGRO PALINDO SAKTI 2,Indonesia,0.303,110.195959,28363.384939999713,14277.277703056265,4010.3600799737787
