claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"As of December 2024, more than 800 equivalent (tCO e) being emitted into the atmosphere.",False,False,False,False,,soft,spec,0.8810661435127258
"have focused on environmental issues, including status, maintaining full traceability across our value
deforestation, peat, and climate change.",True,True,False,True,,soft,non,0.8912292718887329
"Since 2023, we have been
emissions and have now transitioned to the widely proactively introducing a Human Rights Due Diligence
adopted GHG Protocol.",False,False,False,False,,soft,non,0.5548028945922852
"conservation, and we have reforested more than 166
hectares of previously degraded land to date.",False,False,False,False,,soft,spec,0.8689990639686584
"This commitment is guided by
our 2015 Policy on Sustainable Palm Oil, which outlines 03 04
our pledges to No Deforestation, No Peat, and No EMPLOYEE RELATIONS SUPPLY CHAIN
Exploitation (NDPE) and is in accordance with industry AND WORKPLACE Working towards a traceable and transparent
standards.",True,True,True,True,,hard,non,0.7888252139091492
"WE ARE FIRMLY efficiency of palm oil, improving product quality, and
COMMITTED TO IMPLEMENTING STRATEGIES strengthening resilience against climate change.",False,False,False,False,,soft,non,0.9019331932067871
These forest effectively applied throughout our value chain.,False,False,False,False,,soft,non,0.7711554765701294
"First Resources uses a variety of strategies to monitor
deforestation.",True,False,False,False,,soft,non,0.8278312683105469
"24,465 ha
opportunities to enhancing our deforestation HCV & HCS HCS
monitoring efforts.",True,False,False,False,,soft,non,0.5099407434463501
"In 2023, we partnered with
the Natural Resources Conservation Centre of East In 2025, we will continue the scheme in collaboration
A conservation and environmental education forest Kalimantan (BKSDA), under the Directorate General of with BKSDA and launch an enrichment planting
[GRI 13.4.1] Conservation of Natural Resources and Ecosystems, programme on the periphery of the Lembonah HPKL.",False,False,False,False,2025,soft,spec,0.8536938428878784
"Our ongoing initiatives focus on
conversion activities across our sites and restoring
natural landscapes impacted by fires and non-
compliant deforestation.",True,False,False,False,,soft,non,0.7334913015365601
"We aim to rehabilitate
20 hectares of conservation area and plant more than 120.3 35,963
5,500 trees, annually.",False,False,False,False,,soft,spec,0.926590085029602
"Moreover, our habitat and
ecosystem maintenance efforts, including planting
food-source plants, continue to support the protection
of orangutan environments.",False,False,False,False,,soft,non,0.6618237495422363
"At First Resources, To manage peatlands effectively, we have implemented
and per our 2015 Policy on Sustainable Palm Oil, we several strategies, including blocking canals and
are committed to no further planting on peat.",False,False,False,True,,soft,spec,0.6012188196182251
"GAPKI and the World Resources Institute (WRI) to enhance 2023, achieving our target to reduce fires each year.",False,False,False,False,,soft,spec,0.5310346484184265
We uphold a Zero Burning Policy in all our planting our efforts in preventing fires and reducing deforestation.,True,False,False,False,,hard,non,0.7285525798797607
"As part of this initiative, we reference the Science
year on record – the first time annual global temperatures Based Targets initiative (SBTi) to guide our efforts in TCFD reporting and index [GRI 201-2]
have exceeded 1.5°C above pre-industrial levels.4 As an reducing our Scope 1, 2, and 3 GHG emissions.",False,False,False,False,,soft,non,0.6275571584701538
"First Resources has taken significant steps in addressing
climate change by implementing various initiatives to
reduce GHG emissions.",False,False,False,False,,soft,non,0.6681448221206665
"We went a step further with a Purchased goods and services
37.93% Use of sold products
more comprehensive assessment to determine a clear
3.39%
distinction between FLAG and non-FLAG emissions.",False,False,False,False,,soft,spec,0.7128923535346985
"To achieve this, we are heavily investing in
Scope 1 FLAG emissions is our firm commitment to methane capture facilities to trap its release from
no deforestation and no planting on peat, ensuring that the POME treatment process.",True,False,True,True,,hard,spec,0.7520287036895752
"In addition, achieved in 2024 was the successful commissioning of
First Resources has mapped the carbon sequestration two new methane capture facilities, bringing our total to
potential of approximately 24,000 hectares of HCV ten.",False,False,False,False,,soft,spec,0.9519774317741394
"For more systems, we have successfully avoided emissions of
details, see Biodiversity protection and conservation.",False,False,False,False,,soft,non,0.5157771110534668
"Other factors that contributed to the reduction of our
METHANE CAPTURES AND EMISSIONS
Scope 1 non-FLAG emissions include the increased use of
AVOIDED (EST.) 2020–2024
renewable energy at our operations, particularly through
10
the utilisation of biogas fuel, biomass (namely palm oil
fibre and palm kernel shell), and the increasing use of palm breeding programme which aims to develop more
8 8 368,982 the biofuel blend of Methyl Ester (ME) in B35 biodiesel.",False,False,False,False,,soft,spec,0.9147619605064392
"213,435 211,859
minimises methane generation during POME treatment
180,000
by efficiently disposing of solid organic matter that Our efforts also extend to our supply chain, where our
128,361
can also be reused as sustainable organic fertiliser.",False,False,False,False,,soft,spec,0.8389995694160461
"We collaborate with them to ensure that
emission reduction measures are effectively applied.",False,False,False,False,,soft,non,0.771966814994812
"This includes the use of biomass
(palm kernel shells and fibres), biogas, and biodiesel For this report, we have re-established our energy
In 2024, we used a total of 9,849,957 gigajoules (GJ) in our operations.",False,False,False,False,,soft,spec,0.9472680687904358
"Additionally, 812,347 m3 of
water recycling initiatives, we have successfully met our steriliser condensate produced during the FFB sterilisation
water consumption intensity target of below 1.0 m3/MT process was recycled into our CPO dilution process.",False,False,False,False,,soft,spec,0.9160392880439758
"We recycle and reuse all non-hazardous
organic fertiliser
waste generated by our upstream processes.",False,False,False,False,,soft,spec,0.5213513970375061
"At
some mills, we have installed a real-time water quality
To avoid impacting groundwater and surrounding monitoring system called SPARING – Continuous and
water sources, we treat POME and palm oil refinery Networked Wastewater Quality Monitoring System.",False,False,False,False,,soft,non,0.6295045018196106
also developed a technique that has halved our use of riparian buffer zones is prohibited.,False,False,False,False,,soft,spec,0.579063892364502
"In 2024, we reused
Examples of our IPM approach include the use of barn glyphosate, extended application intervals and thereby 92% of POME and over 98% of EFB as organic fertilisers.",False,False,False,False,,soft,spec,0.8034944534301758
"To improve soil fertility, we
ORGANIC FERTILISER cultivate land cover crops, which help increase nitrogen
EFB (tonnes) 511,015 566,573 616,689 664,489 701,944 levels, reduce runoff, and suppress weed growth.",False,False,False,False,,soft,spec,0.5864143371582031
"Additionally, we support integrated health
posts (posyandu), which provide health programmes
for mothers, infants, and children under the “Healthy
Together with First Resources” scheme, including
growth and development assessments, nutritional
education, maternal health check-ups, immunisations, more than IDR 3 billion was allocated to support road promote forest conservation and protection efforts in
and vaccinations.",False,False,False,False,,soft,spec,0.7754631042480469
"framework to proactively identify, assess, and
address potential human rights impacts throughout
our operations.",False,False,False,False,,soft,non,0.9267146587371826
"This capacity-building programme, led
by third-party human rights experts, aimed to equip
participants with a comprehensive understanding
of human rights and associated risks, particularly in
the palm oil industry.",False,False,False,False,,soft,non,0.8787168264389038
"addition to the minimum wage to ensure workers and To promote transparency, we proactively provide
families attain a decent standard of living.",False,False,False,False,,soft,non,0.7178639769554138
"Total Quality Indonesia, aiming to foster a positive work promoted continuous improvement and innovation
culture and enhance productivity in the downstream
environment.",False,False,False,False,,soft,non,0.7976681590080261
"This reporting tool was Awareness 0% 0% the EUDR, the industry-adopted NDPE IRF, and
designed by members of the Palm Oil Collaboration deforestation and conversion-free (DCF) standards.",True,False,True,False,,soft,non,0.6386637091636658
8 The supplier has made commitments to ensure that all volumes comply with the relevant no deforestation and no peat commitments and is planning or implement it for existing suppliers in 2025.,True,False,True,True,2025,hard,spec,0.6107345819473267
• Regional Sustainability Teams Implementing climate-related actions.,False,False,False,False,,soft,non,0.920883297920227
"scenario (low emissions) with higher transition risks
In accordance with best practice, First Resources’ and a scenario with increased physical climate-related
In 2022, 60 First Resources assets12 were assessed assessment was conducted using publicly available risks (very high emissions).",False,False,False,False,,soft,non,0.8814984560012817
reach net-zero by 2100.,False,False,False,False,,hard,non,0.5066405534744263
"HCS forest areas to be protected and degraded land (ISCC) – A certification system that promotes the
with low carbon and biodiversity values that may be sustainable cultivation, processing and utilisation of PalmGHG Calculator – A tool developed by the
developed.",False,False,False,False,,soft,non,0.6958173513412476
"It is geared towards GHG RSPO Greenhouse Gas Working Group to allow
emissions reduction, sustainable land use, protection of palm oil producers to estimate and monitor their net
Human Rights Due Diligence (HRDD) – A process natural biospheres and social sustainability.",False,False,False,False,,soft,non,0.866672694683075
"The Calculator also enables palm oil
through which businesses assess, prevent, mitigate, producers to identify crucial areas in their production
and account for their impact on human rights by International Union for Conservation of Nature’s Red chain and thereby guiding emission reduction
identifying, addressing, and tracking potential adverse List (IUCN Red List) – The world’s most comprehensive opportunities.",False,False,False,False,,soft,non,0.8931757211685181
