claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"As of December 2024, more than 800 equivalent (tCO e) being emitted into the atmosphere.",False,False,False,False,,soft,spec,0.8810661435127258
"conservation, and we have reforested more than 166
hectares of previously degraded land to date.",False,False,False,False,,soft,spec,0.8689990639686584
"In 2023, we partnered with
the Natural Resources Conservation Centre of East In 2025, we will continue the scheme in collaboration
A conservation and environmental education forest Kalimantan (BKSDA), under the Directorate General of with BKSDA and launch an enrichment planting
[GRI 13.4.1] Conservation of Natural Resources and Ecosystems, programme on the periphery of the Lembonah HPKL.",False,False,False,False,2025,soft,spec,0.8536938428878784
"We aim to rehabilitate
20 hectares of conservation area and plant more than 120.3 35,963
5,500 trees, annually.",False,False,False,False,,soft,spec,0.926590085029602
"At First Resources, To manage peatlands effectively, we have implemented
and per our 2015 Policy on Sustainable Palm Oil, we several strategies, including blocking canals and
are committed to no further planting on peat.",False,False,False,True,,soft,spec,0.6012188196182251
"GAPKI and the World Resources Institute (WRI) to enhance 2023, achieving our target to reduce fires each year.",False,False,False,False,,soft,spec,0.5310346484184265
"We went a step further with a Purchased goods and services
37.93% Use of sold products
more comprehensive assessment to determine a clear
3.39%
distinction between FLAG and non-FLAG emissions.",False,False,False,False,,soft,spec,0.7128923535346985
"To achieve this, we are heavily investing in
Scope 1 FLAG emissions is our firm commitment to methane capture facilities to trap its release from
no deforestation and no planting on peat, ensuring that the POME treatment process.",True,False,True,True,,hard,spec,0.7520287036895752
"In addition, achieved in 2024 was the successful commissioning of
First Resources has mapped the carbon sequestration two new methane capture facilities, bringing our total to
potential of approximately 24,000 hectares of HCV ten.",False,False,False,False,,soft,spec,0.9519774317741394
"Other factors that contributed to the reduction of our
METHANE CAPTURES AND EMISSIONS
Scope 1 non-FLAG emissions include the increased use of
AVOIDED (EST.) 2020–2024
renewable energy at our operations, particularly through
10
the utilisation of biogas fuel, biomass (namely palm oil
fibre and palm kernel shell), and the increasing use of palm breeding programme which aims to develop more
8 8 368,982 the biofuel blend of Methyl Ester (ME) in B35 biodiesel.",False,False,False,False,,soft,spec,0.9147619605064392
"213,435 211,859
minimises methane generation during POME treatment
180,000
by efficiently disposing of solid organic matter that Our efforts also extend to our supply chain, where our
128,361
can also be reused as sustainable organic fertiliser.",False,False,False,False,,soft,spec,0.8389995694160461
"This includes the use of biomass
(palm kernel shells and fibres), biogas, and biodiesel For this report, we have re-established our energy
In 2024, we used a total of 9,849,957 gigajoules (GJ) in our operations.",False,False,False,False,,soft,spec,0.9472680687904358
"Additionally, 812,347 m3 of
water recycling initiatives, we have successfully met our steriliser condensate produced during the FFB sterilisation
water consumption intensity target of below 1.0 m3/MT process was recycled into our CPO dilution process.",False,False,False,False,,soft,spec,0.9160392880439758
"We recycle and reuse all non-hazardous
organic fertiliser
waste generated by our upstream processes.",False,False,False,False,,soft,spec,0.5213513970375061
also developed a technique that has halved our use of riparian buffer zones is prohibited.,False,False,False,False,,soft,spec,0.579063892364502
"In 2024, we reused
Examples of our IPM approach include the use of barn glyphosate, extended application intervals and thereby 92% of POME and over 98% of EFB as organic fertilisers.",False,False,False,False,,soft,spec,0.8034944534301758
"To improve soil fertility, we
ORGANIC FERTILISER cultivate land cover crops, which help increase nitrogen
EFB (tonnes) 511,015 566,573 616,689 664,489 701,944 levels, reduce runoff, and suppress weed growth.",False,False,False,False,,soft,spec,0.5864143371582031
"Additionally, we support integrated health
posts (posyandu), which provide health programmes
for mothers, infants, and children under the “Healthy
Together with First Resources” scheme, including
growth and development assessments, nutritional
education, maternal health check-ups, immunisations, more than IDR 3 billion was allocated to support road promote forest conservation and protection efforts in
and vaccinations.",False,False,False,False,,soft,spec,0.7754631042480469
8 The supplier has made commitments to ensure that all volumes comply with the relevant no deforestation and no peat commitments and is planning or implement it for existing suppliers in 2025.,True,False,True,True,2025,hard,spec,0.6107345819473267
