claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"our decarbonisation pathway to Net Zero by 2040, is firmly
Risk Management (Mitigation and Adaptation) 44 The information and figures in this report are based on
intertwined with the protection of biological diversity and their
Management Key Messages • Nature-based Solution corresponding ecosystems.",False,False,False,False,,hard,non,0.9343212246894836
"This report will further detail our
Sustainability Highlight cases, figures from previous years’ Sustainability Reports
Empowering Sustainable Agriculture, purpose and activity driven efforts in mitigating climate and
have been restated to reflect improvements in our data
Performance of IOI Five-year Strategic Priorities 8 ecological impacts through various sustainability activities
Managing Natural Resources, collection and analysis.",False,False,False,False,,soft,non,0.8952025175094604
"while simultaneously transitioning to a low-carbon economy
About IOI Corporation Safeguarding and Enhancing to benefit our employees, stakeholders, and local communities The scope of this report covers entities included in our
in equitable manner.",False,False,False,False,,soft,non,0.9065647721290588
"In further strengthening the
Sustainability Target & Contribution to UN SDG 25 and global standards.",False,False,False,False,,soft,non,0.8249971270561218
"In fact, climate change
Solar panels installed on the
has resulted in this year’s average global rooftops @ IOI Oleo Prai
temperature exceeding the 1.5 deg.",False,False,False,False,,soft,non,0.5697296857833862
"emission intensity
of our operations by
achieving net zero by the year 2040.",False,False,False,False,,hard,spec,0.7236405611038208
"Resource and waste utilisation have been an
important component of this decarbonisation pathway.",False,False,False,False,,soft,non,0.7620748281478882
"We continue to generate renewable energy using the methane 150,000
tonne/
captured from our palm oil mill effluent (“POME”) which is one of the largest
year paper pulp plant
contributors of GHG emissions in our plantation operations.",False,False,False,False,,soft,spec,0.8848366737365723
"We will introduce policies and guidelines on decarbonisation office, plantations, and
to help our suppliers navigate the pathway to net zero with us.",False,False,False,False,,hard,non,0.8038694858551025
"So far, we have completed one round of
Our philosophy of valuing natural resources is extended third-party audits on our recruitment agents in Indonesia, net zero, we are conscious that we are not just
to our resource-based manufacturing division as well.",False,False,False,False,,hard,spec,0.5686406493186951
"To empower our women employees, navigating the present, but also actively contributing
To reduce the consumption of water, we recycle our we established and funded the Women Empowerment to shaping the future of our next generations.",False,False,False,False,,soft,non,0.649420976638794
"Our various initiatives for reforestation and rehabilitation
at forest buffers and riparian zones having been making Mayvin Palm Oil Mill -
good progress over the years.",False,False,False,False,,soft,spec,0.5901892185211182
"In Peninsular Malaysia, we are currently working in
collaboration with Management and Ecology of Malaysian
Elephants (“MEME”) in planting an alternative food source
for the elephants which is at the boundary of our estates.",False,False,False,False,,soft,non,0.5324751138687134
"Furthermore, our
Sustainability Management philosophy, based on People,
Planet & Prosperity (“3Ps”) plus Partnership, has enabled
us to put into action various initiatives.",False,False,False,False,,soft,non,0.9082273840904236
"SuRINA ISMAIL
IOI's pledge to be net zero by 2040 as part of our CCAi is
Chief Sustainability Officer
testament to our belief that together we can effect change.",False,False,False,False,,hard,non,0.7218087911605835
"We are
also intensifying our efforts surrounding rehabilitation ESG Digital platform
and reforestation with the aim of increasing our carbon to analyse environmental and
sequestration and enhancing biodiversity and its social-related data
ecosystem.",False,False,False,False,,soft,non,0.8285495042800903
"For example,
IOI first introduced our Five-Year to achieving this priority is automation and digitalisation the increased variety of plants results
Strategic Priorities in 2020 to provide a for some of our processes as well as to increase in a wider range of insects and
mechanisation within our operations.",False,False,False,False,,soft,non,0.848882794380188
"When
seek to enhance biodiversity within our
Automation in our resource-based manufacturing,
considering each strategic priority, operations.",False,False,False,False,,soft,non,0.8287439346313477
"Overall, it boosts workforce efficiency
across IOI plantations, helping to achieve the ideal
Enhanced biodiversity and pollinator
land-labour ratio with an average of 1:9 ha.",False,False,False,False,,soft,spec,0.7291306853294373
"The targeting of increased yield per hectare reduces IOI’s immediate need An example of successful mechanisation is the
implementation of the Mini Tractor Grabber (“MTG”) at our
for land expansion, which may have environmental impact such as increased GHG emission from land use Successfully certified 1,128 ha of
estates, which has achieved a targeted harvester ratio
change (“LUC”).",False,False,False,False,,soft,spec,0.7801873087882996
"Furthermore, in alignment with the UN SDG 2 - Zero Hunger, IOI is committed to increasing our organically grown oil palm planting
ranging from 1:20 to 1:23 ha compared to conventional
yields as part of our efforts to contribute to a sustainable global food security.",False,False,False,False,,hard,spec,0.8166199922561646
"We adopted the practice of circular economy
by implementing the 7Rs (“Rethink, Repurpose,
At IOI, our commitments towards sustainability, including with more facilities upcoming.",False,False,False,False,,soft,non,0.7300969958305359
"More details on our efforts
Reduce, Reuse, Recycle, Repair, and Recover”)
EESG matters throughout our operations and supply to reduce emissions can be found in page 47 of this report.",False,False,False,False,,soft,non,0.8410478830337524
"Additionally, we are practicing regenerative agriculture, such as through the
a higher value-added product like palm committed to adopting six of the UN SDGs most relevant promotion of organic oil palm planting, producing high
wood implements the principle of circularity by to our business which are SDG 2 (Zero Hunger), SDG 8 yielding clonal palm, etc., with more information about their
deriving revenue from a biomass generally used (Decent Work and Economic Growth), SDG 12 (Responsible activities being disclosed within this report and our website.",False,False,False,False,,hard,spec,0.6447606086730957
"The 7Rs of Circularity are also implemented in Malaysia and Germany, which produce high-quality,
throughout our value chain as part of our efforts to reduce sustainable palm products.",False,False,False,False,,soft,spec,0.5621697902679443
"In recent years, IOI has also
our environmental footprint and support our climate targets worked towards expanding the non-CPO segment with
Throughout the palm wood production process, to achieve net zero by 2040.",False,False,False,False,,hard,spec,0.6677296161651611
"using the patented Preconditioning Refiner
Chemical-Recycle Bleached Mechanised
Pulp (“PRC-RBMP”) technology by converting
biomass into sustainable value-added products.",False,False,False,False,,soft,spec,0.5727279186248779
"One of the ways to grow our oleochemical segment VISION MISSION IOI CORE VALuES
is by expanding the certified sustainable palm oil
products.",False,False,False,False,,soft,spec,0.5699737071990967
"For example, the PKS sold to some Established a new production plant at IOI corporation community and Getting the best value for what we spend
of our third-party buyers have been used as Acidchem in Prai, able to produce 350 MT/ Day
the environment,
activated carbon in filtration process.",False,False,False,False,,soft,spec,0.839342474937439
through implementation of circularity.,False,False,False,False,,soft,non,0.7047682404518127
"Year (Best in Green, Education Assessment
and Social Initiatives) under
the Conglomerate – Plantation
category at the Sustainability Our CDP score for Forest has increased from C to B and
Won Best Corporate Responsibility IOI has won the 2023 ASEAN Innovation CDP
and CSR Malaysia Awards scored C for both Water Security and Climate Change.",False,False,False,False,,soft,spec,0.6198754906654358
"Plantation
Our sustainability commitments, which align with IOI is also committed to complying with international
our three Pillar’s of Sustainability (People, Planet, • 100% IOI Mills RSPO certified.",False,False,False,False,,soft,non,0.7822883129119873
"EUDR commitments are communicated to our
and Prosperity) plus Partnership, are driven by
- Indonesia: 1 Mill RSPO MB certified
suppliers through suppliers’ engagement such as the
our conviction to not only meet the needs of the
• 99% Malaysian and 73% Indonesian Estates RSPO Tools for Transformation (“T4T”) as we aim for a
present without compromising that of the next Certified
deforestation-free supply chain.",True,False,False,False,,hard,spec,0.5616509914398193
"• 5.4% certified under ISO45001: 2018 (Occupational
One of most existential challenges faced by us today is Climate Change.",False,False,False,False,,soft,non,0.814080536365509
"Therefore, Safety & Health Management Standards)
for IOI to be part of the solution rather than the problem, we commit to achieve Net We continue to actively monitor the upcoming regulations
Pillar of Sustainability
Zero by 2040 along with strengthening our focus on principles such as Enhancing such as:
Biodiversity and Just Transition.",False,False,False,False,,hard,non,0.8429190516471863
"This is to protect our
• Promote inclusivity by providing fair and equal opportunities for our workers and emissions and removals)
communities throughout our decarbonisation journey.",False,False,False,False,,soft,non,0.8502406477928162
"IOI GROuP SuSTAINABILITy POLICy (“IOISP”) KEy COMMITMENTS
• 100% of our Oleochemical operations are certified This year, IOI recorded one fine from the Department of
This year, IOI has revised its IOISP, formerly known as the SPOP, to incorporate new or enhanced sustainability ISO45001:2018 Environment (“DOE”) and one fine from Department of
requirements, our target to achieve Net Zero by 2040 as well as to now include our business operations beyond palm oil.",False,False,False,False,,hard,spec,0.7691908478736877
"ISO45001: 2018 and successfully certified 6% of our
Policies and Chain certification standards for our Resource-Based Divisions and work to strengthen these
Plantation operations.",False,False,False,False,,soft,non,0.7519113421440125
"• Implement decarbonisation programme to progressively reduce GHG emissions in line with • IOI Oleochemical and PCEO completed ISO14064- introduced and implemented an additional Safe Operating
IOI’s Pathway to Net-Zero by 2040
1:2018 verification for FY2024 GHG emissions while Procedure to prevent reoccurrence of similar incidents
Environment • Protection of natural ecosystem and promote circularity IOI Edible Oils (“IEO”) completed verification for in the future.",False,False,False,False,,hard,spec,0.6621749401092529
"• Adopt environmentally friendly and energy efficient processes to ensure efficient use of natural
FY2023 GHG emissions.",False,False,False,False,,soft,non,0.6575720906257629
and align with the global adoption of the SDGs.,False,False,False,False,,soft,non,0.8321520090103149
"performance to achieve our net zero target (Scopes 1, 2, and 3) by 2040.",False,False,False,False,,hard,spec,0.788668692111969
"as part of maintenance of the understory vegetation to enhance soil carbon and
• Continuous engagement with MSPO • Contribution towards MSPO standards development and - tree sequestration within our operations
and MPOB revision as well as participation in taskforce to ensure • Continuous research conducted by IOI Research Centre to conserve soil fertility and practice Page 8
industry progress towards EUDR compliance precision agriculture via the use of drones which optimises the use of fertilisers and enhances
• Engagement with Malaysian Timber • Ensures palm wood products are of the highest quality and - uptake of nutrients by palm trees
Industry Board (“MTIB”) for IOI Palm meet industry standards • Current commercial IOI DxP planting material is in its third generation.",False,False,False,False,,soft,non,0.6064912676811218
