claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"In 2025, In parallel, we are taking practical steps to reduce our
while directly addressing growing climate risk.",False,False,False,False,2025,soft,non,0.8856395483016968
"These efforts not only reduce The Path Forward
emissions across our value chain but also make better use
Collective for Impact is built around three areas: of our own resources.",False,False,False,False,,soft,non,0.8296674489974976
"protecting nature, and reducing waste.",False,False,False,False,,soft,non,0.6562172174453735
"• Empowering People: Helping communities thrive, Our path forward is clear: to drive greater productivity from
We want to help create meaningful opportunities so
protecting human rights, and making workplaces safer.",False,False,False,False,,soft,non,0.8677930235862732
"As CSCO, I want to know that everything we produce is made resource efficiency, as well
sustainably, in a way that supports the well-being of the
ecosystems that sustain us and the communities around us.",False,False,False,False,,soft,non,0.8697623014450073
"Group-wide Human Resources Policy integrating human
plantation through our first real-world test of SmartTrace Our ability to secure supply, manage costs, and maintain
rights principles into core human resources processes.",False,False,False,False,,soft,non,0.9320501685142517
"From food and feed to industry
and energy, we deliver sustainable, end-to-end solutions
growing alongside our suppliers
for our customers.",False,False,False,False,,soft,non,0.8268783688545227
"As
a leading global agribusiness, we take our responsibilities
growth in the communities where
seriously, nurturing communities, driving sustainable
innovation, and helping shape a more responsible
we operate, our industry, and
palm oil industry.",False,False,False,False,,soft,non,0.8302914500236511
"Through collaboration with industry
experts, capacity building across our supply chain and
the environment.",False,False,False,False,,soft,non,0.9209334850311279
"12 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
How We Create Value
Our mission is to provide safe, high-quality, and As a global business, we apply consistent sustainability standards
sustainable agricultural products that support a across our operations, from palm in Indonesia to soybean in China
growing global population.",False,False,False,False,2025,soft,non,0.7610822916030884
"technologies that strengthen traceability, improve provide safe, inclusive
We connect production to global markets, delivering quality,
productivity, and build more resilient supply chains.",False,True,False,False,,soft,non,0.8844716548919678
"Through the framework, we align business growth with positive Collective for Impact is aligned with the United Nations
environmental and social outcomes.",False,False,False,False,,soft,non,0.8967791199684143
"Sustainable Development Goals (SDGs), with particular
focus on Zero Hunger (SDG 2), Responsible Consumption
Our strategy is anchored around three interconnected pillars.",False,False,False,False,,hard,non,0.8460095524787903
"and Production (SDG 12), Climate Action (SDG 13), and Life
• Sourcing Responsibly: Strengthen trust with our suppliers on Land (SDG 15).",False,False,False,False,,soft,non,0.8363631963729858
"• Caring for Our Planet: Safeguard natural ecosystems A Year of Learning
through conservation and effective environmental
management, and contribute to net zero goals.",False,False,False,False,,hard,non,0.8616850972175598
"We are
commitment to sustainable outcomes across our supply
embedding sustainability deeper across the business and
chain, for people and for the planet.",False,False,False,False,,soft,non,0.8937920331954956
"This ensures
carbon emissions, drive carbon reduction initiatives, oversee
our commitments translate into action on the ground, We continue to expand the integration of sustainability risks
energy, and water management.",False,False,False,False,,soft,non,0.9491238594055176
"Key executives
unit in 2024 to drive GAR’s decarbonisation strategy, develop
empowerment, climate change adaptation and mitigation, on this committee routinely review risk exposures, discuss
opportunities in carbon markets and strengthen our ability
legal and regulatory compliance, deforestation-free potential impacts, and take proactive steps to manage
to manage climate and energy transition risks.",True,False,False,False,,hard,non,0.9719417691230774
"Diversity, Equity • Conducted a gender equality assessment with the Indonesia Business Coalition for Women Empowerment (IBCWE) to map gender
and Inclusion equality gaps and drive continuous improvement.",False,False,False,False,,soft,non,0.8709052205085754
"implementation Empowerment
• Partnered with waste banks to strengthen waste and recycling practices supporting community-based environmental management.",False,False,False,False,,soft,non,0.7502944469451904
Climate Change • Supported national carbon reduction and food security goals through agroforestry approaches and decarbonisation initiatives.,False,False,False,False,,soft,non,0.9075254201889038
"Deforestation
• Contributed to sector-wide responsible sourcing and traceability improvements through POCG.",True,True,False,False,,soft,non,0.7611644864082336
"and Smallholder • Supported smallholders’ integration into traceable and deforestation-free supply chains, including progress towards RSPO and ISPO.",True,True,False,False,,hard,non,0.8081637620925903
Adaptation • Expanded methane capture and renewable energy initiatives to reduce emissions intensity and strengthen operational resilience.,False,False,False,False,,soft,non,0.5832889080047607
"Deforestation
sourced • Engaged buyers in structured dialogue sessions during palm oil industry conferences to address priorities relating to
Free Supply
products deforestation-free supply chains, carbon management, and human rights due diligence.",True,False,False,False,,hard,non,0.7969003915786743
"Chain (NDPE)
creating
• Engaged local communities in peatland restoration through active participation in rewetting and revegetation activities.",False,False,True,True,,soft,non,0.7040582895278931
"Livelihoods
Greenhouse • Collaborated with Accenture to develop a Group-wide GHG baseline and decarbonisation roadmap.",False,False,False,False,,soft,non,0.8635602593421936
Gas (GHG) • Shared progress with customers and stakeholders to support their climate commitments and Scope 3 expectations.,False,False,False,False,,soft,non,0.9066206216812134
"Emissions • Strengthened alignment with global climate action standards, including GHG Protocol and SBTi.",False,False,False,False,,soft,non,0.849895179271698
sector-wide Deforestation • Achieved near-full Traceability to Mill (TTM) and Traceability to Plantation (TTP) across our palm oil supply chain.,True,True,False,False,,soft,non,0.6589145064353943
"Productivity
• Advanced R&D initiatives, including the development of high-yield and climate-resilient seed varieties.",False,False,False,False,,soft,non,0.6366943717002869
"Relations and
• Collaborated with local waste banks to strengthen community-based waste management and recycling practices.",False,False,False,False,,soft,non,0.7231483459472656
"Empowerment
• Partnered with ADM and Tzu Chi Indonesia on a two-year initiative to build healthier and more resilient communities in Lubuk Gaung.",False,False,False,False,,soft,spec,0.7656950950622559
"Securing a
• Enforced our NDPE commitments across operations and supply chain, supported by satellite-based monitoring to strengthen
Deforestation
risk detection.",True,False,True,False,,soft,non,0.8492586016654968
• Implemented peatland protection and restoration initiatives in priority landscapes to support ecosystem resilience.,False,False,False,True,,soft,non,0.6615288853645325
"and solutions-
oriented
Civil Society
• Reinforced responsible labour standards across our value chain, including alignment with international human rights frameworks.",False,False,False,False,,soft,non,0.9084070920944214
"and FPIC
Supply
• Implemented smallholder inclusion and transformation programmes with suppliers and partners to support traceable,
Inclusiveness
deforestation-free supply chains.",True,True,False,False,,hard,non,0.748671293258667
"32 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
3
Sourcing
Responsibly
In This Chapter
Our Supply Chain
Transformation 34
Beyond Traceability: Unlocking Real Impact 36
Upholding NDPE Commitments 40
Ethical Sourcing Practices 46
Strengthening Smallholder Capabilities 48
Sourcing 33
Responsibly GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Our Supply Chain
Transformation
Since adopting the GAR Social and Environmental Traceability to Plantation
Policy (GSEP) in 2015, we have built one of the
industry’s most comprehensive responsible sourcing In 2025, we achieved 99.8% traceability to plantation.",False,True,True,False,2025,soft,spec,0.5440251231193542
"TTP also enables us to 99.8%
TTP Indonesian
build deforestation-free supply in compliance with No
Palm Supply Traceability
Deforestation, No Peat, and No Exploitation (NDPE) at
Chain
the point of origin.",True,True,True,True,,hard,spec,0.6416710019111633
"It helps our customers 509
demonstrate that our products are deforestation-free in mills
a way that is compatible with the European Union (EU) Percentage Number of Suppliers Volume (MT)
regulatory reporting system.",True,False,False,False,,hard,non,0.6381808519363403
"Together, million hectares of high-risk landscapes two weeks, and we conduct comprehensive
the partnership supports GAR’s ability to safeguard landscapes, reduce deforestation in Southeast Asia and beyond.",True,False,False,False,,soft,non,0.6373587846755981
"Visibility helps us
This is why we also actively engage with industry peers,
prevent deforestation, protect peatlands, respect
supply chain actors, and key governments to drive broader
human rights, and respond credibly to regulatory
Target
sector transformation.",True,False,False,True,,soft,non,0.932754397392273
