company,claim
apical,"No Deforestation, Peat and Exploitation (NDPE)
grow, but we will do commitments, traceability ambitions, governance
Driving Change Through Partnerships structures and smallholder inclusion strategies."
apical,"We believe constructive engagement
increasingly demanded verified sourcing, often delivers more meaningful and lasting In 2025, we continued to make measurable progress
traceability and lower-carbon products as standard outcomes while safeguarding livelihoods."
apical,"We continue to grow, but we will do so with greater
towards a credible decarbonisation initiative."
apical,"The anticipated implementation of the
2 Advancing climate transition readiness through European Union Deforestation Regulation (EUDR),
We also expanded our Sustainable Living Village improved emissions visibility and data systems alongside broader due diligence and disclosure
programme from 12 to 15 villages, supporting 3 Building supplier capability and supporting requirements, will continue to raise expectations
community resilience through alternative livelihoods smallholder participation around compliance, traceability and supply chain
such as honeybee cultivation and cacao farming, transparency."
apical,"At the same time, customers and
while strengthening certification readiness and Our investments in traceability, emissions data financial institutions are placing greater emphasis
forest protection efforts."
apical,"These efforts contributed to Apical receiving At the same time, opportunities are emerging
the RSPO Shared Responsibility Award and the through downstream value creation and renewable
ESGBusiness Sustainable Supply Chain Partnership fuels, including sustainable aviation fuel (SAF), as
Award, recognising our progress in advancing demand for traceable and lower-carbon feedstocks
sustainable supply chains and operational outcomes."
apical,"Our purpose is clear
I
Palm • Soap Noodles and impactful: to improve lives by developing
NTEGRITY
Kernel Oil resources sustainably."
apical,"Developments such as plant-based alternatives, cocoa butter alternatives and milk
Investing in technologies to detect contamination in our products and improve
fat replacers are designed not only to reduce environmental impact, but also to provide practical solutions
Apical's product traceability including the cultivation processes e.g."
apical,"product safety
and quality
Beyond product development, the AIC serves as a platform for co-creation and knowledge sharing,
enabling closer collaboration with customers, Small and Medium-sized Enterprises (SMEs) and industry
Improve the management and supply chain of our palm oil production aligned with
partners."
apical,"change within the Group, which is centred on
creating a positive social, environmental, and
Our response is anchored in our commitment to No Deforestation, No Peat, and No Exploitation (NDPE), which business impact."
apical,"Palm Oil Sourcing Policy A-SIMPLE Framework:
It is underpinned by a traceable, deforestation-
Support business expansion
free supply chain aligned with No Deforestation, Our Palm Oil Sourcing Policy complements our
Sustainable sourcing
No Peat, and No Exploitation (NDPE) principles, Group Sustainability Policy and Human Rights Policy
and supported by commitments to climate action, and reinforces our commitment to a transparent, Supply chain risk profile MPP
biodiversity conservation, human rights, and traceable, and responsible supply chain."
apical,"Apical’s involvement in this framework is instrumental in
supporting sustainable palm oil production and enhancing cooperation with suppliers in our supply chain to
ensure adherence to our policies and standards."
apical,"Feedback Mechanisms
We are also a signatory to the New York Declaration on Forests, which aims to halt deforestation and restore
forest landscapes."
apical,"The working group brings together leading producers, global consumer brands and local partners to
Stakeholder Interviews
drive alignment on deforestation-free, traceable and inclusive supply chain."
apical,"The award recognises Apical’s leadership in
• Apical sources CPKO from kernel crushing plants to process
advancing a responsible, deforestation-free and Continuous monitoring and and produce palm kernel oil products."
apical,"engagement, where suppliers are regarded as co-creators in their journey to improve the traceability of the
Creation of shared value
palm oil industry."
apical,"Leveraging this supply
To support the effective implementation of its geospatial analysis, as well as follow-up engagement chain characteristic, Apical has developed methodologies to trace FFB supplier locations and strengthen
responsible sourcing commitments, Apical adopts a with suppliers to investigate and resolve issues."
apical,"Apical has established a structured due diligence approach through our Deforestation-Free Due Diligence
(DFDD) framework."
apical,"This Conservation Value (HCV) and High Carbon Stock on strengthening community-led land management while supporting sustainable livelihoods and long-term
enables Apical to evaluate supplier compliance (HCS) areas in alignment with the 2024 Roundtable on forest protection."
apical,"The framework is supported by Our conservation efforts include tree-planting initiatives involving 33,175 trees to support restoration
standardised procedures and ongoing monitoring to Partnership in Conservation and enhance ecosystem resilience."
apical,"Under Apical2030, the Group has Apical also supports the development of social
to support EUDR compliance, while reinforcing committed to supporting the protection and forestry initiatives, with 127 hectares approved
transparency, accountability, and responsible conservation of 150,000 hectares of forest and under the social forestry scheme by KPH Bengalon."
apical,The Group has peatland by 2030.
apical,"The programme has also supported
Apical focuses on managing upstream biodiversity community-based monitoring efforts and the
Table 3: Land area protected and restored under SLV programme
risks through responsible sourcing, supplier establishment of a district-level deforestation
engagement, and landscape-level partnerships."
apical,"Other key initiatives include alternative Aceh Singkil, Indonesia 12 17,758 ha of forest protected
traceability, accountability, and partnerships across livelihood programmes such as Trigona honeybee 2,000 trees planted at restoration area
the supply chain."
apical,"Indonesia Award 2025, reflecting its contribution to advancing sustainable practices and community
efforts by promoting responsible land management
development within palm oil sourcing landscapes."
apical,"These measures
are embedded within sourcing expectations and
Presented in Jakarta in December 2025, the award acknowledges initiatives that demonstrate progress
supplier engagement processes, supporting
in promoting sustainable palm oil practices."
apical,"For existing
standards, while underscoring the role of village-level engagement in advancing sustainable palm oil
plantations on peat, the Group promotes best
production and inclusive development outcomes."
apical,"management practice (BMP), including water table
monitoring to reduce greenhouse gas emissions
and maintain soil integrity."
apical,"We also promote responsible agricultural practices
to protect soil health and prevent land degradation."
apical,"We
enforce a strict zero-burning policy across all our SMILE programme smallholders installing chemical-use prohibition
suppliers and provided a guidance document2 for signs along riverbanks
our suppliers on fire prevention and management."
apical,r progress against climate- footprint over time.
