claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"No Deforestation, Peat and Exploitation (NDPE)
grow, but we will do commitments, traceability ambitions, governance
Driving Change Through Partnerships structures and smallholder inclusion strategies.",True,True,True,True,,hard,non,0.9025006294250488
"We believe constructive engagement
increasingly demanded verified sourcing, often delivers more meaningful and lasting In 2025, we continued to make measurable progress
traceability and lower-carbon products as standard outcomes while safeguarding livelihoods.",False,True,False,False,2025,soft,non,0.8621087670326233
"We continue to grow, but we will do so with greater
towards a credible decarbonisation initiative.",False,False,False,False,,soft,non,0.8817657828330994
"The anticipated implementation of the
2 Advancing climate transition readiness through European Union Deforestation Regulation (EUDR),
We also expanded our Sustainable Living Village improved emissions visibility and data systems alongside broader due diligence and disclosure
programme from 12 to 15 villages, supporting 3 Building supplier capability and supporting requirements, will continue to raise expectations
community resilience through alternative livelihoods smallholder participation around compliance, traceability and supply chain
such as honeybee cultivation and cacao farming, transparency.",True,True,False,False,,soft,non,0.7973999381065369
"At the same time, customers and
while strengthening certification readiness and Our investments in traceability, emissions data financial institutions are placing greater emphasis
forest protection efforts.",False,True,False,False,,soft,non,0.8863406777381897
"These efforts contributed to Apical receiving At the same time, opportunities are emerging
the RSPO Shared Responsibility Award and the through downstream value creation and renewable
ESGBusiness Sustainable Supply Chain Partnership fuels, including sustainable aviation fuel (SAF), as
Award, recognising our progress in advancing demand for traceable and lower-carbon feedstocks
sustainable supply chains and operational outcomes.",False,True,False,False,,soft,non,0.5389835238456726
"Our purpose is clear
I
Palm • Soap Noodles and impactful: to improve lives by developing
NTEGRITY
Kernel Oil resources sustainably.",False,False,False,False,,soft,non,0.7536783814430237
"Developments such as plant-based alternatives, cocoa butter alternatives and milk
Investing in technologies to detect contamination in our products and improve
fat replacers are designed not only to reduce environmental impact, but also to provide practical solutions
Apical's product traceability including the cultivation processes e.g.",False,True,False,False,,soft,non,0.7563377618789673
"product safety
and quality
Beyond product development, the AIC serves as a platform for co-creation and knowledge sharing,
enabling closer collaboration with customers, Small and Medium-sized Enterprises (SMEs) and industry
Improve the management and supply chain of our palm oil production aligned with
partners.",False,False,False,False,,soft,non,0.8658300042152405
"change within the Group, which is centred on
creating a positive social, environmental, and
Our response is anchored in our commitment to No Deforestation, No Peat, and No Exploitation (NDPE), which business impact.",True,False,True,True,,hard,non,0.8725452423095703
"Palm Oil Sourcing Policy A-SIMPLE Framework:
It is underpinned by a traceable, deforestation-
Support business expansion
free supply chain aligned with No Deforestation, Our Palm Oil Sourcing Policy complements our
Sustainable sourcing
No Peat, and No Exploitation (NDPE) principles, Group Sustainability Policy and Human Rights Policy
and supported by commitments to climate action, and reinforces our commitment to a transparent, Supply chain risk profile MPP
biodiversity conservation, human rights, and traceable, and responsible supply chain.",True,True,True,True,,hard,non,0.8203148245811462
"Apical’s involvement in this framework is instrumental in
supporting sustainable palm oil production and enhancing cooperation with suppliers in our supply chain to
ensure adherence to our policies and standards.",False,False,False,False,,soft,non,0.8468924760818481
"Feedback Mechanisms
We are also a signatory to the New York Declaration on Forests, which aims to halt deforestation and restore
forest landscapes.",True,False,False,False,,soft,non,0.638210654258728
"The working group brings together leading producers, global consumer brands and local partners to
Stakeholder Interviews
drive alignment on deforestation-free, traceable and inclusive supply chain.",True,True,False,False,,hard,non,0.8706734776496887
