claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"Empowerment
• Partnered with ADM and Tzu Chi Indonesia on a two-year initiative to build healthier and more resilient communities in Lubuk Gaung.",False,False,False,False,,soft,spec,0.7656950950622559
"32 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
3
Sourcing
Responsibly
In This Chapter
Our Supply Chain
Transformation 34
Beyond Traceability: Unlocking Real Impact 36
Upholding NDPE Commitments 40
Ethical Sourcing Practices 46
Strengthening Smallholder Capabilities 48
Sourcing 33
Responsibly GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Our Supply Chain
Transformation
Since adopting the GAR Social and Environmental Traceability to Plantation
Policy (GSEP) in 2015, we have built one of the
industry’s most comprehensive responsible sourcing In 2025, we achieved 99.8% traceability to plantation.",False,True,True,False,2025,soft,spec,0.5440251231193542
"TTP also enables us to 99.8%
TTP Indonesian
build deforestation-free supply in compliance with No
Palm Supply Traceability
Deforestation, No Peat, and No Exploitation (NDPE) at
Chain
the point of origin.",True,True,True,True,,hard,spec,0.6416710019111633
"suppliers
Forest protection has been guided by our Forest Conservation Policy
ASSESSMENT:
since 2011, making us the first palm oil producer to implement a 509 (100%)
dedicated forest conservation policy.",False,False,False,False,,soft,spec,0.6091361045837402
"Since 2014, total Deforestation, Peat Management, Fire,
productivity gains across our operations have been achieved through GHG Emissions, Waste Management.",True,False,False,True,,soft,spec,0.6206284761428833
We support Responsible Agri Commodity Sourcing Policy for non-palm sourcing by 2030.,False,False,False,False,2030,soft,spec,0.590364396572113
Our ambition is to achieve 100% sourcing from low-risk suppliers by 2030.,False,False,False,False,2030,soft,spec,0.842899739742279
"We also work
Collective for Impact target to support smallholders
with experienced partners, such as IDH, to promote the
in these ecosystems by 2035.",False,False,False,False,,soft,spec,0.5198598504066467
"Our Impact
Through our Sawit Terampil Programme, we can verify
Our efforts contribute directly to our Collective for
land legality, improve farmers' incomes, reduce pressure
Impact commitment to train 100,000 smallholders
on forests, promote responsible farming practices, and
by 2035.",False,False,False,False,,soft,spec,0.7029829025268555
"In 2025, 11,250 independent smallholders
contribute to more sustainable palm oil production.",False,False,False,False,2025,soft,spec,0.9122694134712219
"Further investments in methane capture facilities, including 3
energy sources, including the use of in 2025.",False,False,False,False,2025,soft,spec,0.7809820175170898
biogas generated from methane capture.,False,False,False,False,,soft,spec,0.5129011273384094
"59 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Climate Mitigation
We are committed to achieving net zero emissions by 2050, aligning our ambition with the Paris Agreement 1.5°C pathway and Indonesia’s national net zero target by 2060.",False,False,False,False,2025,hard,spec,0.5470606088638306
"In 2025, we commissioned three new progress toward cleaner energy sourcing, led by the
our supply chain the most significant contributor.",False,False,False,False,2025,soft,spec,0.8280383944511414
"Removals Emissions Intensity
GAR continues to demonstrate a firm commitment to In 2025, our total upstream emissions intensity decreased by 6.1% to 2.60 tCO e per tonne of crude palm oil (CPO), down
2
climate action by implementing targeted carbon removal from 2.77 tCO e per tonne CPO in 2024.",False,False,False,False,2025,soft,spec,0.9525983929634094
"Since 2023, we have reduced our reliance on coal (a fossil fuel)
decarbonisation strategy.",False,False,False,False,,soft,spec,0.7248786091804504
"In 2025, total energy consumption rose modestly by 1.3%, to 43.3 while increasing the use of biomass as a cleaner alternative.",False,False,False,False,2025,soft,spec,0.8950724005699158
"In 2025, non-renewable energy
million gigajoules (GJ), broadly in line with increased production across both upstream and consumption increased by 1.7%, mainly attributed to production activities.",False,False,False,False,2025,soft,spec,0.8893394470214844
"Despite an increase in overall production volumes, energy intensity remain committed to transitioning to renewable energy sources in our downstream operations.",False,False,False,False,,soft,spec,0.5608425736427307
"We continue to invest
Group, 54.0% of total energy is sourced from renewable sources.",False,False,False,False,,soft,spec,0.8903265595436096
"in renewable energy infrastructure, including methane capture facilities at palm oil mills and
Our upstream operations continue to lead, with 92.7% of energy derived from renewable biomass boilers powered by residues such as palm kernel shells, thereby reducing fossil fuel
sources, primarily biomass from operational by-products.",False,False,False,False,,soft,spec,0.8816113471984863
"63 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Key Milestones Initiatives at our Tarjun and Methane capture facilities
Marunda refinery Invested in the introduction of three new methane capture
facilities, bringing the total to 11, converting high-impact
After transitioning the coal-fired plant at our Tarjun refinery to methane emissions into usable renewable energy.",False,False,False,False,2025,soft,spec,0.9240145683288574
