company,claim
bumitama,"The
publication of this marks 10 years since the launch of our first No
Deforestation, No Peat, and No Exploitation (NDPE) policy and I am
immensely proud of the milestones we have achieved and the efforts
we have made towards a more sustainable business."
bumitama,GHG emissions by 18% compared to our 2016 baseline.
bumitama,"However,
to achieve our 30% target by 2030 and lessen our climate footprint,
we are substantially ramping up investments in methane capture
and increasing the use of biocharcoal and organic fertilisers in the
Gunawan H."
bumitama,"Additionally, we are focusing on how we can reduce and recycle
Executive Chairman and
our water for processing."
bumitama,"Consistent with Bumitama’s
reforestation and forest-positive programme, BBCP excelled - ABOUT THE REVIEWER
planting over 68,000 trees while adding 180 hectares of reforested Andrew works as a Senior Manager with the Landscape Programme at
area."
bumitama,"1 methane capture facility is in
climate adaption 15 existing palm oil mills operation; 3 are in the pipeline
Reduce GHG emissions intensity by 30% 2030 On track."
bumitama,"Rolled out biocharcoal programme,
reductions through composting and increased compositing facilities, improving solid
solid separation separation for wastewater treatment
Waste management Develop a solid waste reduction policy for our 2023 In progress."
bumitama,"12.2 Target revised to 2025
Pesticides and 85% of planted area to be rodenticide-free 2023 Achieved and exceeded in 2023 with 95% of
chemical usage (2018 baseline) operations rodenticide-free in 2023 and 96%
in 2024
12.4, 12.5 Develop a chemical fertiliser reduction 2024 Ongoing."
bumitama,"However, plasma certified
area increased from 3.4% to 4.0% of total
plasma planted area since 2022
Community development Support 6 communities through social forestry 2025 Achieved and exceeded."
bumitama,"| Sustainability Report 2024 - 12 - TRIPLE ZERO TARGET
PROGRAMME
(STEPWISE TARGETS)
In 2020, we launched our ambitious Triple
Zero Target Programme – an initiative aimed
at achieving zero occurrences related
to fires, environmental incidents, and
workplace accidents by 2025."
bumitama,"These efforts go
beyond efficiency gains, serving as a strategic pillar of our broader sustainability and decarbonisation strategies."
bumitama,"This shift improves
shift supports healthier soil microbiomes and
efficiency, reduces fuel use per tonne of FFB, and
biodiversity, while promoting more efficient and
eases logistical bottlenecks—while also enhancing
responsible field operations."
bumitama,"As we move into 2025 and beyond, our focus remains on:
1 Expanding mainline mechanisation to cut fuel emissions
and improve efficiency."
bumitama,"Precision Nutrient Application 2 Enhancing precision fertilisation to reduce GHG
emissions from soil management."
bumitama,"Integrating digital mechanised tracking systems to
4
improve accountability and carbon footprint monitoring."
bumitama,"enhances soil carbon levels, and lessens reliance
on synthetic fertilisers through more efficient
We are committed to certifying every Bumitama mill against
organic matter distribution."
bumitama,"Our NDPE commitments are the foundation of our sustainability strategy, guiding our efforts to drive
sustainable palm oil production."
bumitama,"Given our significant operations in
Indonesia, we are committed to supporting the Indonesian government’s efforts to eliminate corruption, bribery, and illegal
gratification."
bumitama,"As of December 2024, we have facilitated
Bumitama plays a substantial role in addressing industry-wide
certification for 2,483 hectares of plasma – an increase from
sustainability challenges."
bumitama,"This will be achieved 2
Earthqualizera|aOngoing partnership focused on
landscape-level sustainability programmes (including social
with our implementation partners, IDH Indonesia and
forestry initiatives) and deforestation monitoring
Rainforest Alliance."
bumitama,"In 2023, we continued
our customers."
bumitama,"We are working to integrate ISPO audits with RSPO Our reporting aligns with recognised frameworks such as the
certification processes to enhance efficiency, reduce costs, GRI Standards, Singapore Stock Exchange (SGX) Sustainability
and streamline compliance efforts."
bumitama,"Ultimately,
we aim to contribute to a forest-positive future through
sustained, proactive partnerships."
bumitama,"This focus has led to strategic operational
investments to significantly reduce emissions from our mills,
particularly through methane capture and other initiatives."
bumitama,"We
are also exploring new ways of decreasing chemical fertiliser
usage through application of compost and biocharcoal."
bumitama,"Our goal is to reduce environmental
impact while promoting the well-being of surrounding
communities."
bumitama,"By working closely with our stakeholders, we
strive to develop long-term, sustainable solutions that benefit
both people and nature."
bumitama,"we have identified
a net gain of 920.5 Our overarching objective is to increase total forest cover
hectares in forest in our company-controlled conservation areas by 10% by
land cover since 2020 2025 compared to our 2020 baseline of 34% (or a total
– representing forest cover target of 44%)."
bumitama,"This will be achieved through
active reforestation, planting, and fostering natural regrowth
a 5.3% increase
through company initiatives and community partnerships."
bumitama,"As a result, meeting our annual forest programmes, we run reforestation activities across our
loss target of below 0.1% has been very challenging."
bumitama,"and 2024, land-clearing resulted in the loss of 604 hectares
of forest within our managed area (401 hectares in 2023 and Since 2021, and with the help of BBCP and social forestry
203 hectares in 2024), representing 1.07% and 0.56% of initiatives, we have reforested 468 hectares with over
our conservation areas, respectively."
