claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"GENP continued to manage fuel consumption and on-site energy generation
within established operational parameters, including the use of biomass by-products
We remain firmly committed to our “Zero-burning Policy” for all land-clearing activities from milling activities.",False,False,False,False,,hard,spec,0.5077391266822815
"We extend these sustainability standards across our value chain by continuously
Recycled about Established roadmap Water consumption
engaging with vendors and suppliers on our Sustainability Policy and Environmental for phased installation reduction by
1,133,335
Policy, reinforcing responsible sourcing and environmental accountability throughout of Methane Capture
31%
our operations.",False,False,False,False,,soft,spec,0.7364452481269836
"Group is committed to advancing collective global efforts to combat climate change,
underpinned by its carbon neutrality targets for Malaysian operations by 2030 and Data from RSPO-certified oil mills and estates are also submitted to the RSPO PalmGHG
Indonesian operations by 2035.",False,False,False,False,2030,soft,spec,0.6729637384414673
"Commissioned in 2014, Genting Jambongan Oil Mill is Malaysia’s first zero-discharge
for Malaysian for Indonesian
palm oil mill, and since 2021, belt press technology installed in five oil mills has helped
operations operations
avoided 26,305 tCO₂e of GHG emissions during the reporting year.",False,False,False,False,,hard,spec,0.9699777364730835
"Moving forward, the Group will continue to explore opportunities to invest in facilities
that reduce GHG emissions, including the implementation of methane capture systems,
such as the construction of a biogas plant at Genting Ayer Item Oil Mill and where such
initiatives are effective and applicable across its operations.",False,False,False,False,,soft,spec,0.7154951691627502
"In 2025, the
Group expanded supplier oversight, monitoring 11%
16,153
of FFB suppliers covering 19,758 hectares, up from
Driving Conservation for a Greener Future
10% in 2024.",False,False,False,False,2025,soft,spec,0.9084499478340149
"13,125 As part of its ongoing conservation responsibility, the
Group manages approximately 16,153 hectares of
The Group approach to conservation aligned with SDG 15, which promotes the protection, hectares of other HCV areas and 13,125 hectares of other conservation
restoration and sustainable use of terrestrial ecosystems, forests and biodiversity.",False,False,False,False,,soft,spec,0.7201238870620728
"a reduction of increased by • biodiesel plants decreased by 2%
71% 13% • refinery increased by 14%
We also continue to refine water utilisation measurement and
baselines as operational scope and water-use parameters evolve.",False,False,False,False,,soft,spec,0.7674104571342468
"and COD contents from external
oil mills and ashes
before they are parties due to the
produced are used
used as fertilisers efficacy of EFB as
In line with our sustainability goals, we implement as agricultural
and to irrigate our organic mulch
circular economy practices to reduce waste to landfill.",False,False,False,False,,soft,spec,0.6314926147460938
"Biomass such as dried palm fronds and EFB is
Palm Fronds Organic Fertilisers
repurposed as mulching material in our plantations
Fronds are chipped or pruned and Our biomass and by-products are used
to maximise resource efficiency.",False,False,False,False,,soft,spec,0.5975244045257568
"By integrating
generated during the processing of FFB, accounts for a significant portion of water use biomass by-products into daily practices, we reduce overall waste generation and
at our milling facilities.",False,False,False,False,,soft,spec,0.5082170963287354
"Common by-products such as
Commencing in 2025, Genting Ayer Item Oil Mill utilised methane capture technology EFB, PKS and fibre are repurposed as mulch, soil enhancers or as biofuel for in-house
to reduce greenhouse gas emissions and mitigate environmental impacts.",False,False,False,False,2025,soft,spec,0.7646191120147705
"During the year under review, the Group recycled approximately
the Group has established a roadmap to guide the phased installation of methane 1,133,335 metric tonnes of biomass.",False,False,False,False,,soft,spec,0.9296977519989014
"2,462,487 mt of FFB (99.74% from sustainable sources with environmental
and sustainability standards certifications)
GENP has maintained a strict no-deforestation commitment since 2009 and
strengthened its implementation in 2025 by monitoring 11% of FFB suppliers for
• All palm kernels are sold to external crushing plants, as GENP does not
compliance, covering 19,758 hectares compared to 10% in 2024.",True,False,False,False,2025,soft,spec,0.9523677229881287
We also provide fertilisers at Indah region.,False,False,False,False,,soft,spec,0.6387054920196533
