company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
sdguthrie,BINUANG (SOU 28),Malaysia,4.704457,118.060186,29842.902501784683,17883.981529693727,3128.1481280670673
sdguthrie,MEROTAI (SOU 30),Malaysia,4.369347,117.832905,21450.257670164036,12659.842114205785,5342.973682961259
sdguthrie,SANDAKAN BAY (SOU 26),Malaysia,5.641362,118.166868,26429.94327740553,17983.57611607543,3295.314047363667
sdguthrie,EAST (SOU 8),Malaysia,2.883333,101.436136,23326.537123385126,11983.666392710244,2021.3300366307017
sdguthrie,TANAH MERAH (SOU 14),Malaysia,2.655278,101.792778,22645.66731723756,18333.364650568743,2613.570241997449
sdguthrie,SEGALIUD (SOU 25),Malaysia,5.726001,117.754574,27987.7472558424,21525.51099465959,3921.058655351509
sdguthrie,WEST (SOU 9),Malaysia,2.905,101.361306,19219.064830354866,12040.808573464714,1769.3152060979278
sdguthrie,SUNGAI DINGIN (SOU 1),Malaysia,5.39432,100.71117,26922.3205677967,13193.663114281006,2961.112681388443
sdguthrie,YONG PENG (SOU 19A),Malaysia,2.058808,103.148394,24009.778164663545,18948.42368597493,4226.371499398091
sdguthrie,BUKIT KERAYONG (SOU 7),Malaysia,3.186861,101.374889,21396.443900225873,13394.660797608252,2200.619737792925
sdguthrie,JABOR (SOU 12),Malaysia,3.960833,103.308889,23375.857377822413,13535.508678350148,3026.9870888925743
sdguthrie,TENNAMARAM (SOU 6),Malaysia,3.395639,101.417614,22733.75679243909,14854.658092025194,1814.4514201900815
sdguthrie,GIRAM (SOU 29),Malaysia,4.586785,118.193914,26291.393499308382,17968.280280706982,7774.629662965579
sdguthrie,GUNUNG MAS (SOU 21),Malaysia,2.243544,103.137941,27121.77609060085,23750.564013849245,5543.78052430172
sdguthrie,DIAMOND JUBILEE (SOU 18),Malaysia,2.324247,102.482843,23177.82658055387,16225.528408403052,2996.7761961152846
sdguthrie,NORDANAL (SOU 19),Malaysia,2.183333,102.733333,24088.461686167193,17618.660454493915,2942.1750347150632
sdguthrie,CHAAH (SOU 20),Malaysia,2.148725,102.973994,25970.673347201166,11952.138289403887,2477.4935377742313
sdguthrie,ELPHIL (SOU 3),Malaysia,4.89058,101.093096,24855.935188633324,17566.893362888095,3880.917291705608
sdguthrie,BUKIT PUTERI (SOU 10),Malaysia,4.202694,101.862639,27424.293074817157,21104.035530999925,4196.726572474472
sdguthrie,SERI INTAN (SOU 5),Malaysia,3.969228,100.985558,20058.408528811004,15904.788948056532,3526.895002607812
sdguthrie,BUKIT BENUT (SOU 22),Malaysia,1.931143,103.347365,25508.0353368493,23813.5341231469,3362.6073784355985
sdguthrie,SELABA (SOU 5),Malaysia,3.9889722,101.081278,20975.820228500936,14601.691198602643,2584.462195718411
sdguthrie,FLEMINGTON (SOU 4),Malaysia,3.928056,100.857222,20185.882040548426,13289.767356186177,3404.4136502237748
sdguthrie,KERDAU (SOU 11),Malaysia,3.569444,102.278333,27738.36075404567,19577.036824018105,1647.9445635438576
sdguthrie,KOK FOH (SOU 16),Malaysia,2.784667,102.504167,25554.768629481223,24129.768375218606,3712.525605772947
sdguthrie,LABU (SOU 13),Malaysia,2.748889,101.8045,21908.430786643934,15116.8361546783,2180.441791954513
sdguthrie,SUA BETONG (SOU 15),Malaysia,2.52833,101.895278,20944.474503753263,16802.818648868102,2474.9262730437895
sdguthrie,MELALAP (SOU 27),Malaysia,5.230789,115.986263,27073.574302442907,9062.158504138051,1422.6662468893346
sdguthrie,HADAPAN (SOU 24),Malaysia,1.76216,103.448669,24457.01754689056,18593.866920728542,3082.8411423274933
sdguthrie,CHERSONESE (SOU 2),Malaysia,4.978457,100.461902,12559.641273721674,7370.287016190037,1070.4777650677465
sdguthrie,PEKAKA (SOU 34),Malaysia,3.461379,113.654176,22289.686088840223,19652.11013352185,5834.734247335475
sdguthrie,LAVANG (SOU 31),Malaysia,3.4283333,113.60028,23040.79285885266,23094.44204799153,4377.154015913366
sdguthrie,RAJAWALI (SOU 32),Malaysia,3.372505,113.400597,24210.579544788372,23349.313284059783,6272.689963766055
sdguthrie,DERAWAN (SOU 33),Malaysia,3.390203,113.345417,21355.021432529906,22790.48944101954,6496.434252455896
sdguthrie,ULU REMIS (SOU 23),Malaysia,1.834444,103.4625,27225.368652004,24448.37538269871,2444.9951329170226
sdguthrie,"RANTAU PANJANG POM, PT GPI",Indonesia,-2.916183,103.750833,25216.767100376248,16602.40022380875,4202.671067881744
sdguthrie,KEMPAS (SOU 17),Malaysia,2.243522,102.481386,24549.24715267951,16931.333015040345,3360.0624601993413
sdguthrie,PAGOH (SOU 19),Malaysia,2.077424,102.718519,23539.002202794596,17011.65819860269,2553.398969546644
sdguthrie,SEPANG (SOU 09A),Malaysia,2.678486,101.731956,20163.77645351895,14952.424462813951,2298.427304715821
sdguthrie,MOSTYN (SOU 30B),Malaysia,4.666954,118.203458,23286.614142861567,13774.672572346994,5148.5749611254405
sdguthrie,ERAP / MARKHAM FAMRING ,Papua New Guinea,-6.58087,146.64222,10970.783773847174,4345.154479671859,1399.8873800162808
sdguthrie,TAMIANG POM,Indonesia,4.30555,98.0267,25237.4927459438,12478.346351094076,3138.2965833592543
