claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"The successful
contributed to a notable 24.6 % certification of banana operations under Rainforest
Alliance and Fairtrade standards reinforced the
production increase.",False,False,False,False,,soft,spec,0.6979946494102478
"In 2024, SIPEF reinforced its commitment to
responsible agriculture by improving how it deliv-
ers, monitors, and communicates impact.",False,False,False,False,,soft,non,0.7714530825614929
"01
E Production of bananas in Côte
03
d’Ivoire increased by 24.6% compared
to 2023.",False,False,False,False,,soft,spec,0.7393245697021484
"that will add 1 568 certified hectares to
E SIPEF launched its innovative supply chain
SIPEF’s certified supply base.",False,False,False,False,,soft,spec,0.8736342191696167
"Eglin SA contributed to advancing
social dialogue in the Ivorian banana sector by
E SIPEF launched initiatives to empower more supporting a major industry event in Abidjan
women in plantation roles, including training focused on living wage and shared responsibility.",False,False,False,False,,soft,non,0.6394734978675842
"Conservation and restoration
of the environment
To conserve and, where possible, restore the natural
environment within its operations by engaging in
sustainable agricultural practices and actively managing
conservation areas.",False,False,False,False,,soft,non,0.8565613627433777
"SIPEF's production efficiency goals are: SIPEF's environmental stewardship goals
are:
E Optimising land use in production
areas and improving production E Sustainable land use and
processes biodiversity conservation, including
E Engaging in practices and solutions no deforestation and no new
focused on improving soil health and developments on peat (NDP)
boosting yields E Minimise impacts on natural
resources and the environment
See page 47 for more details E Greenhouse gas (GHG) emissions
reduction and long-term climate
resilience
See page 118 for more details SIPEF Integrated Annual Report 2024 Company Report 31
Respecting employees
and communities
SIPEF’s Balanced Growth Strategy rests
on the premise that growth is not possible
without being a responsible employer and
neighbour, first.",True,False,True,True,,hard,non,0.7276939153671265
"To PARTIES
achieve this, SIPEF is focusing on improving pro- Oil palms 301 220 61 185 362 405
duction efficiency by optimising land use, improv- Bananas 51 038 0 51 038
ing production processes and boosting existing
oil palm yields.",False,False,False,False,,soft,non,0.5192211866378784
"12 In Indonesia: CPO extracted at SIPEF's seven
8 Mill waste and by-products are used to mills is collected and transported by third
generate clean energy for all of SIPEF's mills party partners to tanker terminals for export
and surrounding communities.",False,False,False,False,,soft,spec,0.7460809946060181
"In 2024, SIPEF also continued investing in new
The Group is committed to implementing best machinery and refurbishing existing machinery to
management practices that aim to improve soil make production more efficient at its palm oil mills.",False,False,False,False,,soft,spec,0.774635910987854
"The refurbishments reduce oil losses
hectare.",False,False,False,False,,soft,spec,0.7506628632545471
"Investments in research and development through process efficiencies, while also lowering
(R&D) and in innovative solutions are also support- emissions.",False,False,False,False,,soft,non,0.5253657698631287
"SIPEF installation of CPO washing facilities and biogas/
also continues to explore new opportunities for methane capturing plants, are planned for 2025.",False,False,False,False,2025,soft,spec,0.8105793595314026
"This includes agricultural practices and opti-
mised use of organic materials to sequester carbon
in the soil and improve soil structure.",False,False,False,False,,soft,non,0.7214601039886475
"Healthier
soil requires less inorganic fertiliser, which allows
SIPEF to reduce both GHG emissions and costs.",False,False,False,False,,soft,non,0.5569717884063721
"In addition to improving production, decreasing
climate impacts, and increasing climate resilience,
investing in soil health also improves business
resilience.",False,False,False,False,,soft,non,0.8930672407150269
"E Optimising inputs, processes and outputs by
re-using by-products, minimising waste and
using smart agriculture and mechanisation.",False,False,False,False,,soft,non,0.8013147115707397
"A continuous improvement department was estab-
lished in 2024, with the aim of optimising all palm
oil operations to be more efficient and effective.",False,False,False,False,,soft,non,0.7113087773323059
