claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"The award recognises Apical’s leadership in
• Apical sources CPKO from kernel crushing plants to process
advancing a responsible, deforestation-free and Continuous monitoring and and produce palm kernel oil products.",True,False,False,False,,hard,spec,0.5015770792961121
"Under Apical2030, the Group has Apical also supports the development of social
to support EUDR compliance, while reinforcing committed to supporting the protection and forestry initiatives, with 127 hectares approved
transparency, accountability, and responsible conservation of 150,000 hectares of forest and under the social forestry scheme by KPH Bengalon.",False,False,False,False,2030,soft,spec,0.7435173392295837
The Group has peatland by 2030.,False,False,False,True,2030,soft,spec,0.7999842762947083
"Other key initiatives include alternative Aceh Singkil, Indonesia 12 17,758 ha of forest protected
traceability, accountability, and partnerships across livelihood programmes such as Trigona honeybee 2,000 trees planted at restoration area
the supply chain.",False,True,False,False,,soft,spec,0.8018080592155457
"Through
the partnership, certified sustainable palm oil
derivatives were developed into “Batik Sawit”,
supporting the preservation of traditional
craftsmanship while reducing environmental
Renewable Energy Efficiency Circular impact.",False,False,False,False,,soft,spec,0.6801416277885437
"repurposing waste to minimise Laweyan, enabling the replacement of non-
renewable materials with sustainable palm-
our footprint.",False,False,False,False,,soft,spec,0.6627070307731628
"As part of our commitment of Environment, and Ministry of Forestry of the sustainable alternative to traditional petroleum-
Today, around 40 batik entrepreneurs are using
to resource efficiency and circularity, we explore Republic of Indonesia and the Environmental based paraffin wax used in batik production.",False,False,False,False,,soft,spec,0.6040990948677063
"the innovation, which has improved production
opportunities to minimise our environmental Agency of the Jakarta Province through the Recognised as one of the oldest and largest batik efficiency by reducing melting time and cutting
footprint, including the use of biomass for energy Electronic Environmental Reporting Information districts in Indonesia, Kampung Batik Laweyan LPG gas consumption by half.",False,False,False,False,,soft,spec,0.7542082667350769
"In 2025, we reduced Transforming waste into value-added products is central to Apical’s circular economy approach and
our waste generation by 18.10% compared to 2024.",False,False,False,False,2025,soft,spec,0.9199120402336121
"Compared to the 2020 baseline of 588,384 tonnes, we Green Innovation pillar.",False,False,False,False,,soft,spec,0.9424980878829956
"As part of its Green Innovation pillar, Apical is advancing solutions that convert
have reduced our waste generation by 78.1%.",False,False,False,False,,soft,spec,0.8775721788406372
"Scheduled for commissioning in early 2027, the
128,670
biorefinery is projected to produce up to 500,000 tonnes of SAF and renewable diesel annually using waste-
based feedstock.",False,False,False,False,,soft,spec,0.9550949931144714
"By converting waste streams into renewable fuels, Apical contributes to
the advancement of circular resource management while supporting the decarbonisation of hard-to-abate
Please see Appendix 5A-5C, pages 107 - 108, for the breakdown of waste generated, diverted from disposal and directed to disposal.",False,False,False,False,,soft,spec,0.5638463497161865
"5 According to the International Air Transport Association (IATA), SAF can reduce lifecycle CO₂ emissions by up to 80%, depending on the
feedstock and production pathway.",False,False,False,False,,soft,spec,0.6476375460624695
"Rather than increasing water reuse, these efforts aim
energy performance while maintaining operational derive 38% of total energy use from renewable and to optimise processes so that less water is required to achieve the same outcomes.",False,False,False,False,,soft,spec,0.632253110408783
"Despite the increase in withdrawal, total water consumption decreased by 8.18%
Green Innovation Initiatives 2025 compared to 2024, while water use intensity improved by 10.2%, from 0.000588 ML/t to 0.000528 ML/t of oil
processed.",False,False,False,False,2025,soft,spec,0.9310974478721619
"A total of 56,065 MT
consumption (2023 - 2025) (%) of wood bark was utilised by our KRNR power plant
compared to 120,000 MT in 2024.",False,False,False,False,2025,soft,spec,0.9665656685829163
"2023 2024 2025 To further improve our reliance on energy from the
grid, we are also exploring opportunities to increase
2023 2024 2025
For the 2025 reporting period, Apical’s total energy the use of various biomass feedstocks to replace
consumption was 21,181,507 GJ.",False,False,False,False,2025,soft,spec,0.9609109163284302
"In China, wastewater management is regulated (BOD) / mg/L (COD) / mg/L
to improve water use intensity by 30% (see Water Where feasible, treated wastewater is reused for by the Ministry of Ecology and Environment.",False,False,False,False,,soft,spec,0.7021767497062683
"These
National limit 150 500
• Reused treated wastewater from the controls and treatments support responsible water
wastewater treatment plants for non-potable management and pollution prevention.",False,False,False,False,,soft,spec,0.5085153579711914
"We apply a Water circularity focuses on reducing reliance on freshwater by extending the use of water within our
• Utilises a reverse osmosis system to reduce
reference value of 200 mgO₂/L, in line with regional operations.",False,False,False,False,,soft,spec,0.5468329191207886
