claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"Moving forward,
Reduce GHG emission intensity at RSPO-certified upstream operations by 55% Exceeded target two years ahead of schedule, reaching 2.66 MT CO e/
our Group-level
2025 2
against 2006 baseline MT CPO in 2023.",False,False,False,False,2025,soft,spec,0.9406018257141113
"New: Reduce absolute Scope 1, 2, and 3 non-FLAG2 GHG emissions by 42% 11.24% reduction in Scope 1, 2, and 3 non-FLAG emissions against 2021
2030 On track
(SBTi near-term target) baseline.",False,False,False,False,2030,soft,spec,0.8869612216949463
"On track
Ensure 100% deforestation-free supply chain 2025 Achieved 99.47%* deforestation-free supply chain.",True,False,False,False,2025,hard,spec,0.7980303764343262
"Comprehensive
we confirmed that 99.47% of our supply
Closer to home, our pioneering leadership
effort has been taken to ensure European
chain was deforestation-free in 2024.",True,False,False,False,,hard,spec,0.7906998991966248
"Beyond emissions reduction, we continue
Equally important, we conducted a In 2024, we officially adopted an ambitious
to conserve nearly 14% of our titled
Taskforce on Climate-related Financial target for net-zero emissions by 2050,
land, underscoring our commitment to
Disclosures (TCFD) pilot assessment aligned with a science-based approach to
responsible land management.",False,False,False,False,2050,hard,spec,0.7292613983154297
"Research Center in Riau, our Musim
Through collective efforts, we will continue
Mas GS series of high-yield oil palms can
to achieve our sustainability objectives
potentially double our crude palm oil
and build a responsible value chain that
yield.",False,False,False,False,,soft,spec,0.5971348881721497
"under the Sungai to train more than
organizations, and integrate smallholders Landscape Programme Linau Landscape 1,000 independent
suppliers in 2020: into the sustainable established by the WSP implemented Conservation smallholders in
The first Smallholders palm oil supply chain, Proforest-Daemeter here and Livelihoods sustainable palm
Hub was established reducing deforestation.",True,False,False,False,,soft,spec,0.6856465339660645
"to:
includes: Selected villages have received training
Launched in 2021, the BIPOSC Project is a
• Operate a sustainable composting unit,
• Seven demonstration plots for oil palm on GAP, NDPE principles, and financial
ten-year initiative helping 2,500 smallholders
producing 100–150 tonnes of affordable
regenerative agriculture literacy.",False,False,True,False,,soft,spec,0.9074252247810364
"supply 100% deforestation-free FFB, including
organic fertilizer from mill byproducts
• 20 hectares of demonstration plots for
members of cooperatives, farmer groups, and
Participating villages are randomly
monthly, available to farmers at 40% cheaper
agroforestry
associations.",True,False,False,False,,hard,spec,0.8470823168754578
"This initiative helps smallholders secure financing with the Danish Government, Preferred by Nature,
expertise as one of the partners fulfilling its
for sustainable palm replanting, increasing their income while preventing Ferrero, Sustainable Agriculture Network (SAN), and
designated function.",False,False,False,False,,soft,spec,0.5041263699531555
"Danish government in collaboration with Preferred by Nature, Jérémie heads the Asia team of L3F, a public-private
Ferrero, SAN, Agriterra, and Musim Mas for Sustainable Palm initiative that supports sustainable agriculture and rural
Abler Nordic, Livelihoods Funds, Musim Mas, and Temasek Foundation Launch
Oil Production in Indonesia development, particularly for smallholder farmers in
Blended Finance Initiative on Sustainable Oil Palm to Combat Deforestation and
developing countries.",True,False,False,False,,soft,spec,0.7405956387519836
"The resulting targets are Most recently, we adopted a science-based near- and long-term reduction targets
to a low-carbon future generates new outlined in our Biodiversity and Climate approach to our GHG emissions targets validated by the SBTi in October 2024..",False,False,False,False,,soft,spec,0.5493797063827515
"Using 2021 as the Group’s baseline
we continue to invest in decarbonization set our net-zero emissions targets and year, Musim Mas has committed to the
initiatives, including the installation of Over the years, we have tracked and are proud to have had our ambitious following:
methane capture technology that began reported on the GHG emission intensity
in 2010.",False,False,False,False,,hard,spec,0.7984495759010315
"Our initial
Category Near-Term 2030 Targets Net-Zero 2050 Targets
renewable energy sources, notably by goal was to achieve a 55% reduction
recycling palm kernel shells and installing by 2025 against our 2006 baseline.",False,False,False,False,2025,hard,spec,0.9373498558998108
"Our initial target exceeded palm Reduce absolute Scope 1 and 3 Reduce absolute
FLAG FLAG GHG emissions Scope 1 and 3 FLAG GHG
have optimized our day-to-day practices to oil industry standards at the time, and
by 30.3% by 2030 emissions by 72% by 2050
uphold our no deforestation and no peat we are raising the bar again by adopting
planting commitments.",True,False,True,True,2030,hard,spec,0.889396607875824
"Besides lowering our Scope 1 emissions by
capturing methane, our biogas plants have
We will provide more information about
reduced our consumption of purchased
emissions reduction interventions and
electricity from the grid.",False,False,False,False,,soft,spec,0.7108784317970276
"improved agricultural productivity Medium to
Long Term
• Reduced soil degradation
Increased Use of
Precision Agriculture
Using renewable energy sources, including on-site solar and Technology • Decreased carbon-related costs when regulatory
biomass, as well as renewable energy certificates (RECs), as fossil pricing is in place Long
fuel substitutes.",False,False,False,False,,soft,spec,0.5110291242599487
"Our energy intensity generated by our methane capture facilities to the national
efficiencies across our upstream decreased from 7.53 GJ per tonne of CPO/PK produced in 2023 grid, totaling 33.8 million kilowatt hours (kWh) in 2024.",False,False,False,False,,soft,spec,0.9493106007575989
"operations to minimize our overall to 7.45, due to the increased volume of FFB processed.",False,False,False,False,,soft,spec,0.8300994038581848
"Generating around 4% of the site’s electricity needs, our solar panels are
a tangible step forward in our journey toward Net Zero.",False,False,False,False,,hard,spec,0.8726463317871094
"We estimate that
the system reduces carbon emissions by approximately 1,191 tonnes of
CO₂ equivalent per year.",False,False,False,False,,soft,spec,0.9357402324676514
"In light of these and other successes, Musim Mas continues to explore
opportunities to scale up renewable energy usage across our operations.",False,False,False,False,,soft,spec,0.52991783618927
"Musim Mas is also committed to sourcing
coconut from deforestation-free areas,
as outlined in our Sustainable Coconut
Sourcing Strategy.",True,False,False,False,,hard,spec,0.622208833694458
"394
334 this initiative, we also provide educational
326
resources, agricultural equipment, and
In 2024, we identified 334 hotspots 289
incentives to communities that adopt fire-
within our concessions.",False,False,False,False,,soft,spec,0.7667248249053955
"In 2024, a total of 142,201 MT of
0.7%
coconut oil was sourced from two suppliers
Musim Mas Malaysia – both of which have been assessed for their
Mills
deforestation risk.",True,False,False,False,,soft,spec,0.9183365106582642
"By
Palm Oil Traceability
100% 100% 100% 100% 100% adapting our existing TTP method, we have
98% 98%
98%
Effectively managing and addressing 97% 97%
96% achieved 100% traceability to plantation
94%
potential deforestation and peat
for coconut oil sourced in 2024.",True,True,False,True,,soft,spec,0.8742093443870544
"We can easily trace CPO and PK sourced
from Roundtable on Sustainable Palm Oil
(RSPO)-certified supply chains to plantation.",False,False,False,False,,soft,spec,0.506161093711853
"We continue • Determining the percentage of
to collaborate closely with them to reach 1.10% 1.20% deforestation-free supply from each mill
4.80% 4.28%
100% ‘Delivering’.",True,False,False,False,,hard,spec,0.8455555438995361
"10.23% 18.55%
13.93% 24.01%
In 2024, our supply chain was determined
to be 99.47%* deforestation-free, and
2024 2023 2022 2021
we remain on track to ensure it is 100%
deforestation-free by 2025.",True,False,False,False,2025,hard,spec,0.9411670565605164
"The KPIs assessed will include RSPO certification of independent
smallholders, training of independent smallholders, and maintaining a deforestation-free
In 2024, Musim Mas celebrated two sustainability-related financing milestones.",True,False,False,False,,hard,spec,0.778377890586853
"With potential yields exceeding 10 tonnes (MT) of CPO per hectare, the GS
and productivity, reduce greenhouse gas
5.86
series significantly outperforms the industry average of 3.25 MT per hectare.",False,False,False,False,,soft,spec,0.9114660024642944
