company,claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
apical,"The award recognises Apical’s leadership in
• Apical sources CPKO from kernel crushing plants to process
advancing a responsible, deforestation-free and Continuous monitoring and and produce palm kernel oil products.",True,False,False,False,,hard,spec,0.5015770792961121
apical,The Group has peatland by 2030.,False,False,False,True,2030.0,soft,spec,0.7999842762947083
apical,"Other key initiatives include alternative Aceh Singkil, Indonesia 12 17,758 ha of forest protected
traceability, accountability, and partnerships across livelihood programmes such as Trigona honeybee 2,000 trees planted at restoration area
the supply chain.",False,True,False,False,,soft,spec,0.8018080592155457
astraagro,"100% deforestation-free products
2.",True,False,False,False,,hard,spec,0.7086426615715027
astraagro,"across Astra Agro’s 31 mills will be achieved by • 100% of FFB supply sources (from partner networks to
the end of 2021 and will be followed by mapping smallholders) are traceable.",False,True,False,False,,soft,spec,0.7367017865180969
bumitama,"In partnership with local government authorities, we support restoration
programmes covering up to 20,000 hectares of forest and peatland, enhance sustainable palm oil production, and improve
the livelihoods of smallholders.",False,False,False,True,,soft,spec,0.7613872289657593
bumitama,"Since 2016, IDH and Bumitama have
collaborated in several programmes, including conservation
initiatives within Bumitama’s concessions, establishing the KEE
with the government, and setting up and implementing the PPI
Compact to achieve deforestation-free supply chains.",True,False,False,False,,hard,spec,0.5814718008041382
bumitama,"| Sustainability Report 2024 - 32 - PEAT CONSERVATION Our team is pursuing carbon certification for our methane
capture and biocharcoal projects, which will quantify
[GRI 2-23, 2-24, 3-3, 13.4.1, 13.4.2]
emissions reductions and potentially generate verified
Bumitama remains committed to a policy of zero new carbon credits.",False,False,False,True,,hard,spec,0.7473086714744568
bumitama,"monitor our annual GHG emissions, ensuring a consistent
As of December 2024, our total peatland area stands at 9,171 application of the methodology across all operations,
hectares, of which 8,089 hectares are planted (4.3% of our regardless of certification status.",False,False,False,True,,soft,spec,0.8883042335510254
bumitama,We aim to achieve 100% traceability to plantation by the end of 2026.,False,True,False,False,,soft,spec,0.8498300909996033
bumitama,"We monitor our suppliers’ adherence to our no-deforestation
To support smallholders in overcoming these challenges,
and peat development commitments through a satellite-
we provide targeted assistance to help them achieve
based monitoring system covering over 140,000 hectares.",True,False,False,True,,soft,spec,0.5425875186920166
gar,"32 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
3
Sourcing
Responsibly
In This Chapter
Our Supply Chain
Transformation 34
Beyond Traceability: Unlocking Real Impact 36
Upholding NDPE Commitments 40
Ethical Sourcing Practices 46
Strengthening Smallholder Capabilities 48
Sourcing 33
Responsibly GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Our Supply Chain
Transformation
Since adopting the GAR Social and Environmental Traceability to Plantation
Policy (GSEP) in 2015, we have built one of the
industry’s most comprehensive responsible sourcing In 2025, we achieved 99.8% traceability to plantation.",False,True,True,False,2025.0,soft,spec,0.5440251231193542
