claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"100% deforestation-free products
2.",True,False,False,False,,hard,spec,0.7086426615715027
"Inclusion
• Energy Management Commitment to support
Renewable energy by 93.4% in 2030.",False,False,False,False,2030,soft,spec,0.8520708680152893
"Management
Reduce water withdrawal intensity by
24% in 2030.",False,False,False,False,2030,soft,spec,0.8495773077011108
"• Solid Waste Management
100% solid waste recycling.",False,False,False,False,,soft,spec,0.641381561756134
"By the end of 2025, the Company has successfully
reduced emissions by 35.69% of the 30% target.",False,False,False,False,2025,soft,spec,0.9419193863868713
"Reduction of riparian fertilizer, mangrove rehabilitation,
and carbon sequestration from existing conservation area
7.",False,False,False,False,,soft,spec,0.593576967716217
"across Astra Agro’s 31 mills will be achieved by • 100% of FFB supply sources (from partner networks to
the end of 2021 and will be followed by mapping smallholders) are traceable.",False,True,False,False,,soft,spec,0.7367017865180969
"Decarbonization initiatives included
melalui upaya dekarbonisasi yaitu pengembangan the development of additional methane capture
fasilitas methane capture, yang meningkatkan facilities to enhance energy efficiency and reduce
efisiensi energi dan mengurangi ketergantungan fossil fuel dependency, optimization of the Water
pada bahan bakar fosil.",False,False,False,False,,soft,spec,0.648632824420929
"Selain itu, optimalisasi Water Management System (WMS) to reduce diesel
Management System (WMS) berhasil menekan consumption, and the implementation of ASTEMIC
penggunaan solar, sementara penerapan pupuk (Astra Efficient Microbes) biofertilizer to reduce
hayati ASTEMIC (Astra Efficient Microbes) mampu inorganic fertilizer usage and improve soil health.",False,False,False,False,,soft,spec,0.6298342943191528
"Methane gas generated from the
ditangkap dan dimanfaatkan kembali sebagai waste treatment process is captured and
energi, sehingga mengurangi ketergantungan reused as an energy source, reducing reliance
penggunaan pada bahan bakar fosil dan on fossil fuels and palm kernel shells usage.",False,False,False,False,,soft,spec,0.7320842742919922
"Langkah ini meningkatkan efisiensi This initiative enhances energy efficiency while
energi sekaligus menurunkan emisi GRK secara significantly lowering GHG emissions.",False,False,False,False,,soft,spec,0.7933079600334167
"In addition, the Company is
mencegah kehilangan habitat satwa liar dan committed to preventing wildlife habitat loss and
melarang segala bentuk perburuan terhadap strictly prohibits all forms of hunting of wildlife.",False,False,False,False,,soft,spec,0.5807703137397766
"Selain itu, aplikasi continued to be utilized as organic matter sources
TKKS dan Palm Oil Mill Effluent (POME) terus to sustainably support soil fertility.",False,False,False,False,,soft,spec,0.6018983721733093
"The Company seeks to optimize
penggunaan energi pada setiap tahapan proses energy use across all stages of the production
produksi, mulai dari transportasi bahan baku, process, from raw material transportation and
pengolahan, hingga operasional pendukung, processing to supporting operations, through the
melalui penerapan teknologi yang lebih efisien adoption of more efficient technologies and the
sekaligus pemanfaatan sumber energi rendah utilization of lower-carbon energy sources.",False,False,False,False,,soft,spec,0.5256056785583496
"Salah satu langkah nyata yang telah dijalankan One tangible initiative implemented is the use of
adalah pemanfaatan bioenergi berupa biodiesel B40 biodiesel across various operational activities.",False,False,False,False,,soft,spec,0.7836454510688782
"Sejak Since 2025, Astra Agro has been using B40 biodiesel
tahun 2025 ini, Astra Agro menggunakan biodiesel completely without the use of B35 and B30
B40 secara utuh tanpa penggunaan biodiesel B35 biodiesel.",False,False,False,False,2025,soft,spec,0.8811801075935364
"which support enhanced engine efficiency while
Selain itu, biodiesel memiliki karakteristik reducing the overall carbon footprint of operational
pembakaran yang lebih baik sehingga membantu activities.",False,False,False,False,,soft,spec,0.633550763130188
"To
reduce reliance on chemical fertilizers, We substitute part of their use
with composted Palm Oil Mill Effluent (POME).",False,False,False,False,,soft,spec,0.6547586917877197
"Baru Terbarukan (EBT)
Substitution of coal with palm
kernel shells as an energy source At our refineries units, We reduce coal consumption by substituting it
for refineries units with palm kernel shells as a source of renewable energy.",False,False,False,False,,soft,spec,0.8024294376373291
"Therefore, we are committed to developing methane
capture facilities at our palm oil mills to capture and utilize methane as
an alternative energy source.",False,False,False,False,,soft,spec,0.7289177179336548
"We also continue reforestation
efforts by planting forest species in designated conservation areas.",False,False,False,False,,soft,spec,0.5325854420661926
"The replacement of pumps within the Water Management System (WMS)
forms part of the Company’s initiative to improve diesel fuel efficiency
and reduce emissions associated with pump operations.",False,False,False,False,,soft,spec,0.5455337166786194
"This implementation is expected
to reduce diesel consumption per operating hour, thereby generating
direct cost savings in fuel expenditure and contributing to the reduction
of GHG emissions from WMS operational activities.",False,False,False,False,,soft,spec,0.7683444023132324
"To enhance
yang digunakan dalam proses pengolahan di PKS water-use efficiency, the Company applies water
dan penyulingan bersumber dari air permukaan reuse practices, including the use of condensate
dan air laut.",False,False,False,False,,soft,spec,0.6259217262268066
"This commitment
Komitmen tersebut diwujudkan melalui program is implemented through the zero waste mills
zero waste mills, yang menargetkan pemanfaatan program, which targets the reuse of 100% of non-
kembali 100% limbah produksi padat yang hazardous solid production waste.",False,False,False,False,,hard,spec,0.8791913986206055
"The use of environmentally friendly shopping
sebagai pengganti kantong plastik bags as substitutes for plastic bags
2.",False,False,False,False,,soft,spec,0.7030327320098877
"Sementara plastic consumption through behavioral
itu, kampanye SEMANGKUP difokuskan pada change, such as encouraging the use of
upaya pengurangan penggunaan plastik sekali environmentally friendly shopping bags.",False,False,False,False,,soft,spec,0.5486788153648376
"Reduction of inorganic fertilizers through ASTEMIC, EFB, and
effluent.",False,False,False,False,,soft,spec,0.5290797352790833
"hingga tahun 2030) Achieving a 30%
selaras dengan target decarbonization target by 1.",False,False,False,False,2030,soft,spec,0.7952744364738464
