claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"emission intensity
of our operations by
achieving net zero by the year 2040.",False,False,False,False,,hard,spec,0.7236405611038208
"We continue to generate renewable energy using the methane 150,000
tonne/
captured from our palm oil mill effluent (“POME”) which is one of the largest
year paper pulp plant
contributors of GHG emissions in our plantation operations.",False,False,False,False,,soft,spec,0.8848366737365723
"So far, we have completed one round of
Our philosophy of valuing natural resources is extended third-party audits on our recruitment agents in Indonesia, net zero, we are conscious that we are not just
to our resource-based manufacturing division as well.",False,False,False,False,,hard,spec,0.5686406493186951
"Our various initiatives for reforestation and rehabilitation
at forest buffers and riparian zones having been making Mayvin Palm Oil Mill -
good progress over the years.",False,False,False,False,,soft,spec,0.5901892185211182
"Overall, it boosts workforce efficiency
across IOI plantations, helping to achieve the ideal
Enhanced biodiversity and pollinator
land-labour ratio with an average of 1:9 ha.",False,False,False,False,,soft,spec,0.7291306853294373
"The targeting of increased yield per hectare reduces IOI’s immediate need An example of successful mechanisation is the
implementation of the Mini Tractor Grabber (“MTG”) at our
for land expansion, which may have environmental impact such as increased GHG emission from land use Successfully certified 1,128 ha of
estates, which has achieved a targeted harvester ratio
change (“LUC”).",False,False,False,False,,soft,spec,0.7801873087882996
"Furthermore, in alignment with the UN SDG 2 - Zero Hunger, IOI is committed to increasing our organically grown oil palm planting
ranging from 1:20 to 1:23 ha compared to conventional
yields as part of our efforts to contribute to a sustainable global food security.",False,False,False,False,,hard,spec,0.8166199922561646
"Additionally, we are practicing regenerative agriculture, such as through the
a higher value-added product like palm committed to adopting six of the UN SDGs most relevant promotion of organic oil palm planting, producing high
wood implements the principle of circularity by to our business which are SDG 2 (Zero Hunger), SDG 8 yielding clonal palm, etc., with more information about their
deriving revenue from a biomass generally used (Decent Work and Economic Growth), SDG 12 (Responsible activities being disclosed within this report and our website.",False,False,False,False,,hard,spec,0.6447606086730957
"The 7Rs of Circularity are also implemented in Malaysia and Germany, which produce high-quality,
throughout our value chain as part of our efforts to reduce sustainable palm products.",False,False,False,False,,soft,spec,0.5621697902679443
"In recent years, IOI has also
our environmental footprint and support our climate targets worked towards expanding the non-CPO segment with
Throughout the palm wood production process, to achieve net zero by 2040.",False,False,False,False,,hard,spec,0.6677296161651611
"using the patented Preconditioning Refiner
Chemical-Recycle Bleached Mechanised
Pulp (“PRC-RBMP”) technology by converting
biomass into sustainable value-added products.",False,False,False,False,,soft,spec,0.5727279186248779
"One of the ways to grow our oleochemical segment VISION MISSION IOI CORE VALuES
is by expanding the certified sustainable palm oil
products.",False,False,False,False,,soft,spec,0.5699737071990967
