claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"In this regard, GENP takes proactive and
decisive actions to mitigate climate-related risks, safeguarding both our operations and Energy use and emissions management formed a further layer of environmental
the ecosystems in which we operate.",False,False,False,False,,soft,non,0.9679029583930969
"GENP continued to manage fuel consumption and on-site energy generation
within established operational parameters, including the use of biomass by-products
We remain firmly committed to our “Zero-burning Policy” for all land-clearing activities from milling activities.",False,False,False,False,,hard,spec,0.5077391266822815
"Data collection and internal tracking supported ongoing
as well as our long-standing No Deforestation, No Peat and No Exploitation (“NDPE”) monitoring of energy use and emissions across operations.",True,False,True,True,,hard,non,0.8171465992927551
"We extend these sustainability standards across our value chain by continuously
Recycled about Established roadmap Water consumption
engaging with vendors and suppliers on our Sustainability Policy and Environmental for phased installation reduction by
1,133,335
Policy, reinforcing responsible sourcing and environmental accountability throughout of Methane Capture
31%
our operations.",False,False,False,False,,soft,spec,0.7364452481269836
"metric tonnes of systems across
biomass GENP’s oil mills
Our climate mitigation efforts are further guided by frameworks such as the Roundtable
on Sustainable Palm Oil (“RSPO”) New Planting Procedure and the Malaysian
Sustainable Palm Oil (“MSPO”) standards, alongside our internal Sustainability Policy.",False,False,False,False,,soft,non,0.6235650777816772
"Engaging Our Community
Climate-related risks are systematically managed through our Environmental Policy
and Environmental Management Guidelines, supported by a climate action plan.",False,False,False,False,,soft,non,0.9708791971206665
"In 2025, we
Through a structured approach, we continue to advance emission reduction efforts,
continued to work closely with the communities surrounding our operations, supporting
improve resource efficiency and strengthen supply chain resilience, thus ensuring the
initiatives that improve daily living conditions and strengthen local infrastructure.",False,False,False,False,2025,soft,non,0.8544256091117859
"Our endeavour to embrace
• 2/2 biodiesel plants certified and demonstrate the concepts
of the four pillars through
ISCC our strategies and initiatives
CUSTOMERS
enables us to manage risks
• 100% certified in Malaysia
and opportunities, as we
seek to continuously create
MSPO
sustainable value for our
• 100% certified in Malaysia stakeholders.",False,False,False,False,,soft,non,0.5675435662269592
We actively participate • Environmental Matters pg.,False,False,False,False,,soft,non,0.8123341798782349
"70-73
in both individual and collaborative efforts with key
stakeholders and industry peers to encourage positive Industry Groups 1, 2, 3, 4 • Environmental Matters pg.",False,False,False,False,,soft,non,0.8644402623176575
"Our aim is to reduce negative
impacts along our value chain while
delivering value for our business and
stakeholders.",False,False,False,False,,soft,non,0.8961794376373291
"rainfall, and temperature variability.",False,False,False,False,,soft,non,0.7560231685638428
"engagement strategy, including efforts to facilitate sustainable palm oil certification.",False,False,False,False,,soft,non,0.6682515144348145
"During the year,
resources were directed towards mitigation and adaptation measures aimed at Key initiatives include:
stabilising the supply of FFB and CPO despite adverse climate conditions.",False,False,False,False,,soft,non,0.8336243629455566
"This reflects the 2050, limiting global temperature rise to 1.5°C.",False,False,False,False,2050,soft,non,0.7359980344772339
"Rapid deployment of renewable energy and significant
inverse relationship between global mitigation efforts behavioural shifts drive accelerated decarbonisation.",False,False,False,False,,soft,non,0.9128252863883972
"To respond to these shifts, the Group will
may be incurred to meet reporting standards and need to accelerate its transition initiatives and introduce
demonstrate progress towards a lower-carbon economy.",False,False,False,False,,soft,non,0.9485891461372375
"Energy Efficiency Practices
Renewable energy derived from oil palm biomass, including palm fibres, palm kernel Energy efficiency measures are applied across operations as part of routine
shells and empty fruit bunches, is used as fuel at oil mills and selected downstream operational management.",False,False,False,False,,soft,non,0.6033433079719543
grid electricity and alternative energy sources.,False,False,False,False,,soft,non,0.6206777095794678
"Group is committed to advancing collective global efforts to combat climate change,
underpinned by its carbon neutrality targets for Malaysian operations by 2030 and Data from RSPO-certified oil mills and estates are also submitted to the RSPO PalmGHG
Indonesian operations by 2035.",False,False,False,False,2030,soft,spec,0.6729637384414673
"36
noitcudortnI
hcaorppA
ytilibaniatsuS
ruO
tnemnorivnE
ytinummoC
ecalpkroW
ecalptekraM
noitamrofnI
rehtO
Sustainability Report 2025
OUR ENVIRONMENTAL RESPONSIBILITY
Metrics and Targets The Group continues to focus on operational measures to manage and reduce energy
consumption, including improvements in energy efficiency, process optimisation, and
The Group’s primary climate-related metric for managing risks and opportunities the evaluation of alternative energy solutions where feasible.",False,False,False,False,2025,soft,non,0.8719098567962646
"fertilisers as alternatives to inorganic fertilisers, mitigating emissions from fertiliser
use.",False,False,False,False,,soft,non,0.6143298149108887
"Neutrality by Neutrality by
• Implementing best practices across operations to mitigate and reduce GHG
emissions, including halting deforestation, enforcing NDPE and Zero Burning Policy,
2030 2035 and applying sustainable management on cultivated peatlands.",True,False,True,True,2030,hard,non,0.6187037229537964
"Commissioned in 2014, Genting Jambongan Oil Mill is Malaysia’s first zero-discharge
for Malaysian for Indonesian
palm oil mill, and since 2021, belt press technology installed in five oil mills has helped
operations operations
avoided 26,305 tCO₂e of GHG emissions during the reporting year.",False,False,False,False,,hard,spec,0.9699777364730835
"Moving forward, the Group will continue to explore opportunities to invest in facilities
that reduce GHG emissions, including the implementation of methane capture systems,
such as the construction of a biogas plant at Genting Ayer Item Oil Mill and where such
initiatives are effective and applicable across its operations.",False,False,False,False,,soft,spec,0.7154951691627502
"underpins the Group’s broader climate mitigation and adaptation strategy, while
driving the monitoring and continuous improvement of emissions performance.",False,False,False,False,,soft,non,0.9648990035057068
The Group is dedicated to conserving and enhancing biodiversity throughout all our plantation operations.,False,False,False,False,,soft,non,0.683535099029541
"We implement a practice Biodiversity Action Plan that combines
sustainable land management, wildlife protection and community engagement.",False,False,False,False,,soft,non,0.8404564261436462
"In line with our climate mitigation efforts, we continue to be guided by the RSPO’s NPP, Preventing Deforestation
the MSPO standards and our Sustainability Policy to uphold our commitment to no
deforestation, conservation and biodiversity.",True,False,False,False,,soft,non,0.8827632665634155
"We manage climate-related risks through We apply policies and procedures to prevent deforestation risks across our
the Environmental Policy and the Environmental Management Guidelines, guided by a operations and supply chain.",True,False,False,False,,soft,non,0.9626568555831909
approximately with GENP’s no-deforestation standards.,True,False,False,False,,soft,non,0.6095670461654663
"In 2025, the
Group expanded supplier oversight, monitoring 11%
16,153
of FFB suppliers covering 19,758 hectares, up from
Driving Conservation for a Greener Future
10% in 2024.",False,False,False,False,2025,soft,spec,0.9084499478340149
"If any supplier is found to have cleared
We carry out targeted conservation efforts to safeguard biodiversity and limit hectares of HCV land after the EUDR cut-off date, reforestation actions
environmental impacts across our operations.",False,False,False,False,,soft,non,0.589691162109375
These efforts prioritise the protection areas and will be considered to address confirmed deforestation.,True,False,False,False,,soft,non,0.7773893475532532
"13,125 As part of its ongoing conservation responsibility, the
Group manages approximately 16,153 hectares of
The Group approach to conservation aligned with SDG 15, which promotes the protection, hectares of other HCV areas and 13,125 hectares of other conservation
restoration and sustainable use of terrestrial ecosystems, forests and biodiversity.",False,False,False,False,,soft,spec,0.7201238870620728
"Ongoing rehabilitation efforts are being implemented to strengthen the
carbon sequestration potential of these ecosystems.",False,False,False,False,,soft,non,0.6619381308555603
"Integrated Pest Management Fe rtiliser Application Management
We implement Integrated Pest Management (“IPM”) to reduce reliance on chemical The Group manages fertiliser application through established standard operating
inputs, minimising our environmental impact.",False,False,False,False,,soft,non,0.8313577175140381
"We also
implement surface run-off controls to prevent nutrient flow into conservation areas,
supporting ecosystem protection and long-term landscape stewardship.",False,False,False,False,,soft,non,0.8305128216743469
"These include air and water quality, food security and broader human term partnerships that aim to improve habitat quality
well-being.",False,False,False,False,,soft,non,0.863807201385498
"Since 2021, the Group
has worked with the Bringing Back Our Rare Animals
To safeguard sensitive habitats, the Group prohibits development in HCV, HCS and peatland areas.",False,False,False,True,,soft,non,0.5302150249481201
"The Group (“BORA”) on reforestation programmes, including the
also implements conservation initiatives to protect and manage landscapes that support endangered, rare and planting of orangutan food trees across its estates in
threatened species.",False,False,False,False,,soft,non,0.6675167083740234
"These efforts focus on
restoring riparian and flood-prone zones using native
In Indonesia, internal teams carry out wildlife stock verification and ground-truthing surveys to improve the Group’s species to promote ecosystem resilience.",False,False,False,False,,soft,non,0.8341830968856812
"The initiative focuses on rehabilitating buffer zones within plantation landscapes to create safe movement routes for wildlife and
rebuild degraded ecosystems.",False,False,False,False,,soft,non,0.5629599690437317
Local communities contribute to the initiative through nursery training programmes that build skills and create alternative income sources.,False,False,False,False,,soft,non,0.5404286980628967
"The Group applies a Zero Burning Policy across its operations to prevent
emissions associated with open burning.",False,False,False,False,,hard,non,0.6544539332389832
"to protect water quality, sources like rain-fed levels and weather water hazards in
enhance efficiency, ponds, rivers and lakes, patterns monitoring response to the
and optimise its water to ensure the availability through rainfall collection escalating global
In response, we are committed to sustainable water management
management system of fresh and clean stations to address temperatures and the
to reduce water use intensity by 2050 across our operations.",False,False,False,False,2050,soft,non,0.8078613877296448
"a reduction of increased by • biodiesel plants decreased by 2%
71% 13% • refinery increased by 14%
We also continue to refine water utilisation measurement and
baselines as operational scope and water-use parameters evolve.",False,False,False,False,,soft,spec,0.7674104571342468
"This is implemented particularly in derivative processes, with oil mills In 2025
and downstream facilities already recording improvements in water-
use intensity, in line with long-term water stewardship objectives.",False,False,False,False,2025,soft,non,0.6220374703407288
"This will help improve our practices and identify
assessment, none of GENP’s oil mills or downstream operation units areas that require immediate actions to reduce water use.",False,False,False,False,,soft,non,0.8012158870697021
"As at oil mills and downstream facilities across our operations to optimise and reduce water-use intensity,
of December 2025, no water-related risks were identified and there thereby strengthening our overall water management practices.",False,False,False,False,2025,soft,non,0.5961576104164124
"and COD contents from external
oil mills and ashes
before they are parties due to the
produced are used
used as fertilisers efficacy of EFB as
In line with our sustainability goals, we implement as agricultural
and to irrigate our organic mulch
circular economy practices to reduce waste to landfill.",False,False,False,False,,soft,spec,0.6314926147460938
"Biomass such as dried palm fronds and EFB is
Palm Fronds Organic Fertilisers
repurposed as mulching material in our plantations
Fronds are chipped or pruned and Our biomass and by-products are used
to maximise resource efficiency.",False,False,False,False,,soft,spec,0.5975244045257568
"POME, the main organic and contaminated wastewater stream contributing to both recycling and energy recovery across operations.",False,False,False,False,,soft,non,0.585850179195404
"By integrating
generated during the processing of FFB, accounts for a significant portion of water use biomass by-products into daily practices, we reduce overall waste generation and
at our milling facilities.",False,False,False,False,,soft,spec,0.5082170963287354
"produced and treated through dedicated systems to minimise potential impacts on
surrounding land and water bodies.",False,False,False,False,,soft,non,0.7759333848953247
"In the context of oil palm cultivation and milling, biomass recycling offers a practical
and sustainable avenue for optimising material use.",False,False,False,False,,soft,non,0.7075215578079224
"Common by-products such as
Commencing in 2025, Genting Ayer Item Oil Mill utilised methane capture technology EFB, PKS and fibre are repurposed as mulch, soil enhancers or as biofuel for in-house
to reduce greenhouse gas emissions and mitigate environmental impacts.",False,False,False,False,2025,soft,spec,0.7646191120147705
"During the year under review, the Group recycled approximately
the Group has established a roadmap to guide the phased installation of methane 1,133,335 metric tonnes of biomass.",False,False,False,False,,soft,spec,0.9296977519989014
"We are also working towards reducing Biochemical
Oxygen Demand (“BOD”) and Chemical Oxygen Demand (“COD”) levels by 2050 to not Scheduled Waste Management
only improve water quality but also lower GHG emissions in the long term.",False,False,False,False,2050,soft,non,0.5120208263397217
"Executed a range of POME management strategies, including
treatment, land application and composting, all geared towards the Going forward, we will continue to strengthen the management of hazardous
beneficial repurposing of POME as a fertiliser and non-hazardous waste across all operations, while improving the performance
and efficiency of wastewater treatment systems.",False,False,False,False,,soft,non,0.6690596342086792
"Environmental Concerns
Managing Human-Wildlife Conflicts Preventing Forest Fires and Collaborating with Local Farmers
and Preventing Poaching Promoting Sustainable Farming on Sustainable Practices
Key Initiatives
Awareness Campaigns Zero Burning Policy Training and Support
Raised awareness among communities on the Upheld a strict Zero Burning Policy and worked with Introduced sustainable agricultural methods to local
importance of coexisting with wildlife and the need local communities to highlight the risks linked to slash- farmers, as many local communities rely on farming
to discourage hunting and poaching of endangered and-burn practices.",False,False,False,False,,hard,non,0.7595891356468201
"prevention and promoted agricultural methods that do
not involve the use of fire
Collaborations
Community Engagement
Worked with local NGOs and state wildlife agencies
to train employees and support, where necessary, Collaborated with local communities through
the safe relocation of endangered species to reduce programmes such as the Desa Peduli Api sessions to
human wildlife conflict integrate fire prevention measures and sustainable
farming practices within the community
These initiatives have resulted in various tangible outcomes, including protecting endangered species supporting the stability of the ecosystem through minimised human
wildlife conflicts and prevention of poaching.",False,False,False,False,,soft,non,0.7506205439567566
