claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"103 Musim Mas' Contributions to
48 Community Development and
the SDGs
Mission
Empowerment
108 Glossary
Driven by a passion for excellence and commitment to continuous
51 Business Ethics
improvement, we strive to be the leader in the palm oil industry, producing
110 Contact
52 Pillar 2: Deliver Positive
all our products in an economically viable, socially responsible and
Environmental Impacts
environmentally appropriate manner in full compliance with all relevant
legal requirements.",False,False,False,False,,soft,non,0.7029386162757874
"Progress made
Develop a climate resiliency and mitigation strategy for our upstream operations In development based on our 2023 internal climate risk assessment.",False,False,False,False,,soft,non,0.933971107006073
"Moving forward,
Reduce GHG emission intensity at RSPO-certified upstream operations by 55% Exceeded target two years ahead of schedule, reaching 2.66 MT CO e/
our Group-level
2025 2
against 2006 baseline MT CPO in 2023.",False,False,False,False,2025,soft,spec,0.9406018257141113
"New: Reduce absolute Scope 1, 2, and 3 non-FLAG2 GHG emissions by 42% 11.24% reduction in Scope 1, 2, and 3 non-FLAG emissions against 2021
2030 On track
(SBTi near-term target) baseline.",False,False,False,False,2030,soft,spec,0.8869612216949463
"On track
Ensure 100% deforestation-free supply chain 2025 Achieved 99.47%* deforestation-free supply chain.",True,False,False,False,2025,hard,spec,0.7980303764343262
"Our net-zero
supply chain partners with a strong
own operations.",False,False,False,False,,hard,non,0.6030383110046387
"Comprehensive
we confirmed that 99.47% of our supply
Closer to home, our pioneering leadership
effort has been taken to ensure European
chain was deforestation-free in 2024.",True,False,False,False,,hard,spec,0.7906998991966248
"Beyond emissions reduction, we continue
Equally important, we conducted a In 2024, we officially adopted an ambitious
to conserve nearly 14% of our titled
Taskforce on Climate-related Financial target for net-zero emissions by 2050,
land, underscoring our commitment to
Disclosures (TCFD) pilot assessment aligned with a science-based approach to
responsible land management.",False,False,False,False,2050,hard,spec,0.7292613983154297
"to align our reporting with the TCFD reduce greenhouse gas (GHG) emissions
framework.",False,False,False,False,,soft,non,0.7640485167503357
"This allows us to disclose consistent with the Paris Agreement’s 1.5°C
climate-related risks more clearly and goal.",False,False,False,False,,soft,non,0.9411815404891968
"I am proud that we were among the
in line with International Sustainability first companies in the agricultural sector
Standards Board (ISSB) standards to have these targets validated by the
and Singapore’s mandatory climate Science-Based Targets Initiative (SBTi).",False,False,False,False,,soft,non,0.6848790645599365
"agricultural practices, and contribute
to sustainable and responsible palm meaningfully to community well-being.",False,False,False,False,,soft,non,0.8191052675247192
"Research Center in Riau, our Musim
Through collective efforts, we will continue
Mas GS series of high-yield oil palms can
to achieve our sustainability objectives
potentially double our crude palm oil
and build a responsible value chain that
yield.",False,False,False,False,,soft,spec,0.5971348881721497
"They are also aligned with the
four pillars of our Sustainability Policy, Human rights and labour rights
specific aspects of our NDPE roadmap, Fire and haze prevention
Prioritization
and the SDGs that we contribute to.",False,False,True,False,,soft,non,0.9105191826820374
"under the Sungai to train more than
organizations, and integrate smallholders Landscape Programme Linau Landscape 1,000 independent
suppliers in 2020: into the sustainable established by the WSP implemented Conservation smallholders in
The first Smallholders palm oil supply chain, Proforest-Daemeter here and Livelihoods sustainable palm
Hub was established reducing deforestation.",True,False,False,False,,soft,spec,0.6856465339660645
"These results demonstrate the effectiveness of
We continued to partner with
regenerative agriculture practices in improving
Our programs aim to support smallholders on the ground:
Eidgenössische Technische Hochschule
soil health and productivity.",False,False,False,False,,soft,non,0.7848794460296631
"to:
includes: Selected villages have received training
Launched in 2021, the BIPOSC Project is a
• Operate a sustainable composting unit,
• Seven demonstration plots for oil palm on GAP, NDPE principles, and financial
ten-year initiative helping 2,500 smallholders
producing 100–150 tonnes of affordable
regenerative agriculture literacy.",False,False,True,False,,soft,spec,0.9074252247810364
"supply 100% deforestation-free FFB, including
organic fertilizer from mill byproducts
• 20 hectares of demonstration plots for
members of cooperatives, farmer groups, and
Participating villages are randomly
monthly, available to farmers at 40% cheaper
agroforestry
associations.",True,False,False,False,,hard,spec,0.8470823168754578
