company,claim,source,gold_is_claim,gold_specificity,gold_sentiment,gold_esg_topic
apical,"Compared to the 2020 baseline of 588,384 tonnes, we Green Innovation pillar.",confirmed_claim,,,,
apical,"to recycle water for use in the cooling tower, saving approximately 30 m³ per day through increased water
8 Decree 109/2015 of 17 March, approving the Regulations on
designed to ensure that key quality parameters such reuse.",confirmed_claim,,,,
apical,"In 2025, we reduced Transforming waste into value-added products is central to Apical’s circular economy approach and
our waste generation by 18.10% compared to 2024.",confirmed_claim,,,,
apical,"This includes exploring opportunities for water reuse, recycling, and closed-loop systems where
monthly water usage by 30%
regulatory guidance8.",confirmed_claim,,,,
apical,"The award recognises Apical’s leadership in
• Apical sources CPKO from kernel crushing plants to process
advancing a responsible, deforestation-free and Continuous monitoring and and produce palm kernel oil products.",confirmed_claim,,,,
apical,"By converting waste streams into renewable fuels, Apical contributes to
the advancement of circular resource management while supporting the decarbonisation of hard-to-abate
Please see Appendix 5A-5C, pages 107 - 108, for the breakdown of waste generated, diverted from disposal and directed to disposal.",confirmed_claim,,,,
apical,"2023 2024 2025 To further improve our reliance on energy from the
grid, we are also exploring opportunities to increase
2023 2024 2025
For the 2025 reporting period, Apical’s total energy the use of various biomass feedstocks to replace
consumption was 21,181,507 GJ.",confirmed_claim,,,,
apical,"Managing Effluents 6 Resolution of the Regional Office for Sustainable Development in Apical advances water circularity by treating and reusing wastewater to minimise freshwater withdrawal and
Huelva declaring the modification of the industrial facilities linked reduce effluent discharge by reusing treated water for cooling towers, fire hydrants and domestic cleaning.",confirmed_claim,,,,
apical,"Scheduled for commissioning in early 2027, the
128,670
biorefinery is projected to produce up to 500,000 tonnes of SAF and renewable diesel annually using waste-
based feedstock.",confirmed_claim,,,,
astraagro,"Reduction of inorganic fertilizers through ASTEMIC, EFB, and
effluent.",confirmed_claim,,,,
astraagro,"which support enhanced engine efficiency while
Selain itu, biodiesel memiliki karakteristik reducing the overall carbon footprint of operational
pembakaran yang lebih baik sehingga membantu activities.",confirmed_claim,,,,
astraagro,"Selain itu, aplikasi continued to be utilized as organic matter sources
TKKS dan Palm Oil Mill Effluent (POME) terus to sustainably support soil fertility.",confirmed_claim,,,,
astraagro,"This implementation is expected
to reduce diesel consumption per operating hour, thereby generating
direct cost savings in fuel expenditure and contributing to the reduction
of GHG emissions from WMS operational activities.",confirmed_claim,,,,
astraagro,"Selain itu, optimalisasi Water Management System (WMS) to reduce diesel
Management System (WMS) berhasil menekan consumption, and the implementation of ASTEMIC
penggunaan solar, sementara penerapan pupuk (Astra Efficient Microbes) biofertilizer to reduce
hayati ASTEMIC (Astra Efficient Microbes) mampu inorganic fertilizer usage and improve soil health.",confirmed_claim,,,,
astraagro,"Methane gas generated from the
ditangkap dan dimanfaatkan kembali sebagai waste treatment process is captured and
energi, sehingga mengurangi ketergantungan reused as an energy source, reducing reliance
penggunaan pada bahan bakar fosil dan on fossil fuels and palm kernel shells usage.",confirmed_claim,,,,
