claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"On track
Ensure 100% deforestation-free supply chain 2025 Achieved 99.47%* deforestation-free supply chain.",True,False,False,False,2025,hard,spec,0.7980303764343262
"Comprehensive
we confirmed that 99.47% of our supply
Closer to home, our pioneering leadership
effort has been taken to ensure European
chain was deforestation-free in 2024.",True,False,False,False,,hard,spec,0.7906998991966248
"under the Sungai to train more than
organizations, and integrate smallholders Landscape Programme Linau Landscape 1,000 independent
suppliers in 2020: into the sustainable established by the WSP implemented Conservation smallholders in
The first Smallholders palm oil supply chain, Proforest-Daemeter here and Livelihoods sustainable palm
Hub was established reducing deforestation.",True,False,False,False,,soft,spec,0.6856465339660645
"to:
includes: Selected villages have received training
Launched in 2021, the BIPOSC Project is a
• Operate a sustainable composting unit,
• Seven demonstration plots for oil palm on GAP, NDPE principles, and financial
ten-year initiative helping 2,500 smallholders
producing 100–150 tonnes of affordable
regenerative agriculture literacy.",False,False,True,False,,soft,spec,0.9074252247810364
"supply 100% deforestation-free FFB, including
organic fertilizer from mill byproducts
• 20 hectares of demonstration plots for
members of cooperatives, farmer groups, and
Participating villages are randomly
monthly, available to farmers at 40% cheaper
agroforestry
associations.",True,False,False,False,,hard,spec,0.8470823168754578
"Danish government in collaboration with Preferred by Nature, Jérémie heads the Asia team of L3F, a public-private
Ferrero, SAN, Agriterra, and Musim Mas for Sustainable Palm initiative that supports sustainable agriculture and rural
Abler Nordic, Livelihoods Funds, Musim Mas, and Temasek Foundation Launch
Oil Production in Indonesia development, particularly for smallholder farmers in
Blended Finance Initiative on Sustainable Oil Palm to Combat Deforestation and
developing countries.",True,False,False,False,,soft,spec,0.7405956387519836
"Our initial target exceeded palm Reduce absolute Scope 1 and 3 Reduce absolute
FLAG FLAG GHG emissions Scope 1 and 3 FLAG GHG
have optimized our day-to-day practices to oil industry standards at the time, and
by 30.3% by 2030 emissions by 72% by 2050
uphold our no deforestation and no peat we are raising the bar again by adopting
planting commitments.",True,False,True,True,2030,hard,spec,0.889396607875824
"Musim Mas is also committed to sourcing
coconut from deforestation-free areas,
as outlined in our Sustainable Coconut
Sourcing Strategy.",True,False,False,False,,hard,spec,0.622208833694458
"In 2024, a total of 142,201 MT of
0.7%
coconut oil was sourced from two suppliers
Musim Mas Malaysia – both of which have been assessed for their
Mills
deforestation risk.",True,False,False,False,,soft,spec,0.9183365106582642
"By
Palm Oil Traceability
100% 100% 100% 100% 100% adapting our existing TTP method, we have
98% 98%
98%
Effectively managing and addressing 97% 97%
96% achieved 100% traceability to plantation
94%
potential deforestation and peat
for coconut oil sourced in 2024.",True,True,False,True,,soft,spec,0.8742093443870544
"We continue • Determining the percentage of
to collaborate closely with them to reach 1.10% 1.20% deforestation-free supply from each mill
4.80% 4.28%
100% ‘Delivering’.",True,False,False,False,,hard,spec,0.8455555438995361
"10.23% 18.55%
13.93% 24.01%
In 2024, our supply chain was determined
to be 99.47%* deforestation-free, and
2024 2023 2022 2021
we remain on track to ensure it is 100%
deforestation-free by 2025.",True,False,False,False,2025,hard,spec,0.9411670565605164
"The KPIs assessed will include RSPO certification of independent
smallholders, training of independent smallholders, and maintaining a deforestation-free
In 2024, Musim Mas celebrated two sustainability-related financing milestones.",True,False,False,False,,hard,spec,0.778377890586853
